GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
71016,38242,1566,0,6848,16064,256,26,62,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,136,TA_NORTHEAST,0,0,1566,1566,0
71052,38278,830,0,9177,5892,1024,35,23,5,UNDEFINED,0,0,2024,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,66,TA_SOUTHEAST,0,0,830,830,3072
71088,38314,8742,0,21419,13073,1024,83,51,5,UNDEFINED,0,0,2024,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,59,TA_SOUTHEAST,0,0,922,922,3072
71124,38350,1106,0,15008,19536,256,58,76,5,UNDEFINED,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,64,TA_SOUTHEAST,0,0,1106,1106,1024
71160,38386,1198,0,11596,19668,256,45,76,5,UNDEFINED,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,64,TA_SOUTHEAST,0,0,1198,1198,1536
71196,38422,1290,27532,11432,14248,256,44,55,5,UNDEFINED,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,64,TA_SOUTHEAST,0,0,1290,1290,1536
71232,38458,1014,0,10816,16736,256,42,65,5,UNDEFINED,0,0,2024,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,64,TA_SOUTHEAST,0,0,1014,1014,3072
71268,38494,1382,0,18961,8398,640,74,32,5,UNDEFINED,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,254,TA_SOUTHWEST,0,0,1382,1382,1024
71304,38530,1474,0,14784,4266,256,57,16,5,UNDEFINED,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,189,TA_NORTHWEST,0,0,1474,1474,1024
71340,38566,1934,0,7104,12992,256,27,50,5,UNDEFINED,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,154,TA_NORTH,0,0,1934,1934,0
