GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,Affect_S,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Unique,Unique_S,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,OldState_S,NewState,NewState_S,HugChangeDir,HugStartAngle,HitAngle
32776,2,0,94,21144,11176,128,82,43,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,134,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
32868,94,2,0,21144,11048,128,82,43,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,123,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
32960,186,0,278,21144,10904,128,82,42,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,107,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33052,278,186,0,21160,10776,128,82,42,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,87,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33144,370,0,462,21156,10572,128,82,41,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,76,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33236,462,370,554,21156,10572,128,82,41,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,71,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33328,554,462,646,21156,10572,128,82,41,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,68,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33420,646,554,0,21156,10572,128,82,41,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,63,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33512,738,0,0,15220,9596,256,59,37,4100,UNDEFINED,0,PA_NONE,1123,PB_WOMAN_REDHEAD,517,1134,0,0,1,TM_PERSON,29,PS_WANDER,83,TA_EAST,0,1,PU_CIVILIAN,20040,0,0,0,0,0,0,0,0,-5120,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,204,16,32,32,0,PS_NONE,29,PS_WANDER,4,0,142
33604,830,0,0,11968,9152,256,46,35,4,TS_MAPWHO,0,PA_NONE,1330,PB_MAN_SUIT,583,1342,0,0,1,TM_PERSON,3,PS_GOTO_POINT3,115,TA_NORTHEAST,0,1,PU_CIVILIAN,0,0,0,0,8,8,0,0,11968,9152,1024,0,0,0,0,0,0,0,0,0,0,128,110,238,110,128,110,238,110,128,110,238,110,194,0,32,32,0,PS_NONE,3,PS_GOTO_POINT3,0,0,0
