GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown[0],Unknown[1]
59016,26242,0,0,6748,9156,512,26,35,4,TS_INMAPWHO,0,1085,4723,1085,50,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59046,26272,0,0,8820,6364,512,34,24,4,TS_INMAPWHO,0,1085,4723,1085,50,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59076,26302,0,0,17724,6868,640,69,26,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59106,26332,0,0,21356,8660,640,83,33,4,TS_INMAPWHO,0,1085,4723,1085,50,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59136,26362,0,0,7612,11380,640,29,44,4,TS_INMAPWHO,0,1085,4725,1086,50,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59166,26392,4510,0,18284,9940,640,71,38,4,TS_INMAPWHO,0,1085,4713,1089,40,0,5,TM_OBJECT,14,128,TA_NORTHEAST,0,0,0
59196,26422,0,0,17784,15880,1024,69,62,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,0
59226,26452,0,29242,19832,15624,1152,77,61,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,0
59256,26482,0,0,20856,15624,1024,81,61,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
59286,26512,0,29662,22136,15496,1408,86,60,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,0
59316,26542,0,29872,22136,14088,1152,86,55,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,0
59346,26572,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,0
59376,26602,0,0,16504,8968,1024,64,35,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,0
