GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,ZAngle,Unknown[0],Unknown[1]
59016,26242,0,0,9068,18132,256,35,70,4,TS_INMAPWHO,0,0,2068,395,40,0,5,TM_OBJECT,38,0,0,0,0
59046,26272,0,0,7544,17384,256,29,67,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,0,0,0
59076,26302,0,0,6360,17016,256,24,66,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,0,0,0
59106,26332,0,0,3200,16352,256,12,63,4,TS_INMAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,128,0,0,0
59136,26362,0,0,3784,15224,256,14,59,4,TS_INMAPWHO,0,1109,4759,1110,40,0,5,TM_OBJECT,12,192,0,0,0
59166,26392,0,0,5216,4560,256,20,17,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,0,0,0,0
59196,26422,0,0,7280,4320,256,28,16,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,0,0,0
59226,26452,0,0,9072,4320,256,35,16,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,0,0,0
59256,26482,0,0,11120,4320,256,43,16,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,0,0,0
59286,26512,0,0,12656,4304,256,49,16,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,0,0,0
59316,26542,0,0,14192,4304,256,55,16,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,0,0,0
59346,26572,0,0,21360,11232,256,83,43,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,0,0,0
59376,26602,0,0,14968,17624,256,58,68,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,0,0,0
59406,26632,0,0,10436,14204,256,40,55,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,0,0,0
59436,26662,0,0,17844,13964,256,69,54,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,0,0,0
59466,26692,0,0,16240,6864,384,63,26,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,0,0,0
59496,26722,0,0,17264,6864,384,67,26,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,0,0,0
59526,26752,0,0,18288,6864,384,71,26,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,0,0,0
59556,26782,0,0,19568,6864,384,76,26,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,0,0,0
59586,26812,0,0,20592,6608,256,80,25,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,0,0,0
59616,26842,0,0,3448,15368,1280,13,60,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,0,0,0
59646,26872,0,0,3960,9992,768,15,39,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,0,0,0
59676,26902,0,28282,4728,8072,896,18,31,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,0,0,0
59706,26932,0,30382,6776,4360,1152,26,17,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,0,0,0
59736,26962,0,28162,7544,4360,896,29,17,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,0,0,0
59766,26992,0,0,9336,4360,1152,36,17,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,0,0,0
59796,27022,0,0,10104,3592,1024,39,14,6,UNDEFINED,0,0,8661,1962,65534,0,5,TM_OBJECT,33,64,0,0,0
59826,27052,0,0,10616,4360,896,41,17,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,0,0,0
59856,27082,0,0,11896,3592,1280,46,14,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,0,0,0
59886,27112,0,0,12920,4360,640,50,17,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,0,0,0
59916,27142,0,0,14968,3592,512,58,14,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,0,0,0
59946,27172,0,0,13688,4360,1152,53,17,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,0,0,0
59976,27202,0,0,25464,4360,1408,99,17,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,0,0,0
60006,27232,0,0,25464,5384,1024,99,21,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,0,0,0
60036,27262,0,0,24568,6280,1152,95,24,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,0,0,0
60066,27292,0,0,23032,6280,1152,89,24,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,0,0,0
60096,27322,0,0,20088,9480,1024,78,37,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,0,0,0
60126,27352,5982,0,20088,11272,1024,78,44,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,0,0,0
60156,27382,0,0,20088,14600,1024,78,57,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,0,0,0
60186,27412,0,0,19320,16648,896,75,65,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,0,0,0
60216,27442,0,0,16760,14600,768,65,57,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,0,0,0
60246,27472,0,0,18040,12424,896,70,48,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,0,0,0
60276,27502,0,30622,16248,10248,640,63,40,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,0,0,0
60306,27532,0,0,15736,11400,1152,61,44,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,0,0,0
60336,27562,0,0,8568,16648,1024,33,65,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,0,0,0
60366,27592,0,30142,7032,17416,1152,27,68,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,0,0,0
60396,27622,0,28582,20088,13688,384,78,53,6,UNDEFINED,0,0,2725,619,50,0,5,TM_OBJECT,1,192,0,0,0
60426,27652,0,0,13576,6312,256,53,24,6,UNDEFINED,0,0,2725,619,50,0,5,TM_OBJECT,1,64,0,0,0
60456,27682,0,0,4724,7420,384,18,28,6,UNDEFINED,0,0,2725,619,50,0,5,TM_OBJECT,1,64,0,0,0
60486,27712,0,0,10092,7124,256,39,27,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,0,0,0
60516,27742,0,0,10512,14416,256,41,56,6,UNDEFINED,0,0,2288,558,50,0,5,TM_OBJECT,22,128,0,0,0
60546,27772,0,0,20012,15508,256,78,60,6,UNDEFINED,0,0,2288,558,50,0,5,TM_OBJECT,22,128,0,0,0
60576,27802,0,0,20008,14920,256,78,58,6,UNDEFINED,0,0,2288,558,50,0,5,TM_OBJECT,22,128,0,0,0
60606,27832,0,0,21168,11360,256,82,44,6,UNDEFINED,0,0,2288,558,50,0,5,TM_OBJECT,22,128,0,0,0
