GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
56328,23554,3958,0,26944,8594,256,105,33,4,TS_INMAPWHO,0,0,1685,450,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,128,0,3958,0,0,0,0,0,100,0
56370,23596,3682,0,26176,14656,256,102,57,4,TS_INMAPWHO,0,0,1684,448,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,64,0,3682,0,0,0,0,0,100,0
56412,23638,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56454,23680,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56496,23722,4142,0,16832,13346,256,65,52,4,TS_INMAPWHO,0,0,1683,446,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,0,0,4142,0,0,0,0,0,100,0
56538,23764,4050,0,24494,14656,256,95,57,4,TS_INMAPWHO,0,0,1684,448,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,64,0,4050,0,0,0,0,0,100,0
56580,23806,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56622,23848,11962,0,17564,14272,256,68,55,4,TS_INMAPWHO,0,0,2323,524,40,0,2,TM_VEHICLE,17,VS_FIREENGINE,192,0,11962,0,0,0,0,0,110,0
56664,23890,11870,0,26560,13318,256,103,52,4,TS_INMAPWHO,0,0,2342,518,40,0,2,TM_VEHICLE,17,VS_FIREENGINE,0,0,11870,0,0,0,0,0,110,0
56706,23932,11778,0,26560,12414,256,103,48,4,TS_INMAPWHO,0,0,2036,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,0,11778,0,0,0,0,0,120,0
56748,23974,11686,0,26560,10339,256,103,40,4,TS_INMAPWHO,0,0,2345,494,115,0,2,TM_VEHICLE,40,VS_AMBULANCE,0,0,11686,0,0,0,0,0,115,0
56790,24016,11594,0,26560,8499,256,103,33,4,TS_INMAPWHO,0,0,2345,494,115,0,2,TM_VEHICLE,40,VS_AMBULANCE,0,0,11594,0,0,0,0,0,115,0
56832,24058,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56874,24100,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56916,24142,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56958,24184,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57000,24226,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57042,24268,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57084,24310,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57126,24352,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57168,24394,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57210,24436,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57252,24478,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57294,24520,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57336,24562,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57378,24604,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57420,24646,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57462,24688,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57504,24730,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57546,24772,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57588,24814,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57630,24856,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57672,24898,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57714,24940,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57756,24982,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57798,25024,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
