GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Status,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,State,Angle,ZAngle,Unique,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,NewState,HugChangeDir,HugStartAngle,HitAngle
32776,2,0,0,23736,11368,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,131,0,32,32,0,0,0,0,0
32868,94,0,186,23744,11232,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,120,0,32,32,0,0,0,0,0
32960,186,94,0,23752,11096,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,110,0,32,32,0,0,0,0,0
33052,278,0,370,23760,10960,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,89,0,32,32,0,0,0,0,0
33144,370,278,462,23728,10816,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,79,0,32,32,0,0,0,0,0
33236,462,370,554,23728,10816,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,76,0,32,32,0,0,0,0,0
33328,554,462,646,23728,10816,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,74,0,32,32,0,0,0,0,0
33420,646,554,0,23728,10816,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,71,0,32,32,0,0,0,0,0
33512,738,0,0,2888,11800,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,242,0,32,32,0,0,0,0,0
33604,830,0,0,5696,11840,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,213,0,32,32,0,0,0,0,0
33696,922,0,0,5552,8112,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,182,0,32,32,0,0,0,0,0
33788,1014,0,0,3668,6060,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,161,0,32,32,0,0,0,0,0
33880,1106,0,0,3236,3196,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,128,0,32,32,0,0,0,0,0
33972,1198,0,0,5132,3796,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,115,0,32,32,0,0,0,0,0
34064,1290,0,0,5680,912,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,83,0,32,32,0,0,0,0,0
34156,1382,0,0,7444,3148,256,4,0,1,379,3,16,0,1,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,19,0,32,32,0,0,0,0,0
34248,1474,0,38278,16267,10991,896,4100,0,833,3620,843,0,0,1,29,63,0,4,19445,0,0,0,0,0,0,0,0,0,0,0,0,0,38278,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,49,16,32,32,0,29,4,192,0
34340,1566,0,38314,7009,8490,256,4100,0,833,3629,845,0,0,1,29,123,0,4,12342,0,0,0,0,0,0,0,0,0,0,0,0,0,38314,0,0,0,8,0,0,128,80,208,80,128,80,208,80,128,50,178,50,57,16,32,32,0,29,2,192,141
34432,1658,0,38350,17634,3956,256,4100,0,833,3629,845,0,0,1,29,133,0,4,18114,0,0,0,0,0,0,0,0,0,0,0,0,0,38350,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,28,16,32,32,0,29,3,0,79
34524,1750,0,3130,13904,4089,256,4100,0,833,3619,843,0,0,1,14,65,0,4,14471,0,0,0,0,0,0,0,0,0,0,0,0,0,38386,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,49,23,32,32,0,29,4,0,71
34616,1842,0,38422,19838,2797,256,4100,0,833,3621,843,0,0,1,29,64,0,4,18888,0,0,0,0,0,0,0,0,0,0,0,0,0,38422,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,13,16,32,32,0,29,4,192,8
34708,1934,0,38458,17483,22258,256,4100,0,833,3633,847,0,0,1,15,192,0,4,28360,0,0,0,0,0,0,0,0,0,0,0,0,0,38458,0,0,0,6,0,0,128,80,208,80,128,80,208,80,128,50,178,50,241,23,32,32,0,29,4,0,74
34800,2026,0,38494,7394,4081,256,4100,0,833,3620,843,0,0,1,29,62,0,4,8028,0,0,0,0,0,0,0,0,0,0,0,0,0,38494,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,106,16,32,32,0,29,4,192,138
34892,2118,0,38530,16338,10409,896,4100,0,833,3636,847,0,0,1,29,189,0,4,20307,0,0,0,0,0,0,0,0,0,0,0,0,0,38530,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,17,16,32,32,0,29,4,0,199
34984,2210,0,38566,23364,4107,256,4100,0,833,3619,843,0,0,1,15,64,0,4,23699,0,0,0,0,0,0,0,0,0,0,0,0,0,38566,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,63,23,32,32,0,29,4,128,199
35076,2302,0,13342,31999,23259,128,4365,0,833,4623,1039,65535,0,1,26,129,0,4,39573,0,0,0,0,0,0,0,0,0,0,0,0,0,38602,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,11,0,32,32,0,29,3,128,207
35168,2394,0,38638,19097,1062,256,4100,0,833,3637,847,0,0,1,29,194,0,4,20346,0,0,0,0,0,0,0,0,0,0,0,0,0,38638,0,0,0,8,0,0,128,80,208,80,128,80,208,80,128,50,178,50,19,16,32,32,0,29,2,128,144
35260,2486,0,38674,24944,10586,256,4100,0,833,3626,845,0,0,1,29,132,0,4,27699,0,0,0,0,0,0,0,0,0,0,0,0,0,38674,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,62,16,32,32,0,29,4,0,208
35352,2578,0,10398,18128,23785,128,4365,0,833,4623,1039,65535,0,1,26,129,0,4,29924,0,0,0,0,0,0,0,0,0,0,0,0,0,38710,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,255,0,32,32,0,29,3,128,142
35444,2670,0,38746,13713,12329,256,4100,0,833,3618,843,0,0,1,29,56,0,4,17915,0,0,0,0,0,0,0,0,0,0,0,0,0,38746,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,45,16,32,32,0,29,4,128,212
35536,2762,0,6442,31999,16792,128,4365,0,833,4623,1039,65535,0,1,26,129,0,4,36148,0,0,0,0,0,0,0,0,0,0,0,0,0,38782,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,214,0,32,32,0,29,3,128,79
35628,2854,0,7914,18795,2330,256,4100,0,833,3637,847,0,0,1,29,192,0,4,20087,0,0,0,0,0,0,0,0,0,0,0,0,0,38818,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,237,16,32,32,0,29,3,64,71
35720,2946,0,38854,20503,11346,256,4100,0,833,3628,845,0,0,1,29,126,0,4,23513,0,0,0,0,0,0,0,0,0,0,0,0,0,38854,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,50,16,32,32,0,29,4,192,202
35812,3038,0,10490,31999,23010,128,4365,0,833,4623,1039,65535,0,1,26,63,0,4,23017,0,0,0,0,0,0,0,0,0,0,0,0,0,38890,0,0,0,5,0,0,128,80,208,80,128,80,208,80,128,50,178,50,212,0,32,32,0,29,0,0,201
35904,3130,1750,38386,13912,4051,256,4100,0,833,3619,843,0,0,1,29,63,0,4,12465,0,0,0,0,0,0,0,0,0,0,0,0,0,38926,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,26,16,32,32,0,29,4,0,137
