Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
0,59016,26242,0,0,23152,6640,256,90,25,4,TS_MAPWHO,0,1077,4707,1077,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
1,59046,26272,0,0,17768,10728,256,69,41,4,TS_MAPWHO,0,1101,4746,1101,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
2,59076,26302,0,0,22760,13432,256,88,52,4,TS_MAPWHO,0,1101,4747,1102,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
3,59106,26332,0,0,10200,18024,896,39,70,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
4,59136,26362,0,0,10352,13808,256,40,53,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
5,59166,26392,0,0,12144,13808,256,47,53,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
6,59196,26422,0,0,12776,12408,256,49,48,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
7,59226,26452,0,0,13800,8824,256,53,34,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
8,59256,26482,0,0,13800,6776,256,53,26,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
9,59286,26512,0,27892,10232,13832,1024,39,54,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
10,59316,26542,0,28342,11128,13448,896,43,52,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,
11,59346,26572,0,26602,12920,12296,1152,50,48,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,
12,59376,26602,26572,0,12920,12296,896,50,48,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,
13,59406,26632,0,0,13432,10248,1024,52,40,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,
14,59436,26662,0,0,13944,7176,1152,54,28,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,
15,59466,26692,0,0,21368,15752,1152,83,61,6,TS_UNKNOWN_2 | TS_MAPWHO,0,571,0,571,50,0,5,TM_OBJECT,31,0,TA_SOUTHWEST,0,0,
16,59496,26722,0,0,20616,15752,1152,80,61,6,TS_UNKNOWN_2 | TS_MAPWHO,0,572,2576,572,50,0,5,TM_OBJECT,31,0,TA_SOUTHWEST,0,0,
17,59526,26752,0,0,21864,14088,256,85,55,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,2724,618,50,0,5,TM_OBJECT,1,0,TA_SOUTHWEST,0,0,
18,59556,26782,0,0,20072,15960,256,78,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,2288,558,50,0,5,TM_OBJECT,22,0,TA_SOUTHWEST,0,0,
19,59586,26812,0,0,21608,15944,256,84,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,2288,558,50,0,5,TM_OBJECT,22,0,TA_SOUTHWEST,0,0,
20,59616,26842,0,0,20264,15832,256,79,61,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,2460,562,50,0,5,TM_OBJECT,26,0,TA_SOUTHWEST,0,0,
21,59646,26872,0,26902,21800,18440,768,85,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,4856,1050,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
22,59676,26902,26872,26932,21896,18440,768,85,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,4854,1050,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
23,59706,26932,26902,27022,21992,18440,768,85,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,4854,1050,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
24,59736,26962,0,26992,22088,18440,768,86,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,4856,1050,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
25,59766,26992,26962,0,22096,18448,896,86,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,4854,1050,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
26,59796,27022,26932,27052,21808,18448,896,85,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,4854,1050,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
27,59826,27052,27022,27082,22000,18448,896,85,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,4856,1050,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
28,59856,27082,27052,0,21904,18448,896,85,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,4856,1050,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
29,59886,27112,0,29182,20200,19208,768,78,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,570,2552,570,50,0,5,TM_OBJECT,31,64,TA_SOUTHEAST,0,0,
30,59916,27142,0,27292,20632,19320,896,80,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1045,4837,1046,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
31,59946,27172,0,27232,17400,19720,896,67,77,6,TS_UNKNOWN_2 | TS_MAPWHO,0,572,2580,572,50,0,5,TM_OBJECT,31,64,TA_SOUTHEAST,0,0,
32,59976,27202,0,0,17784,19080,1152,69,74,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,
33,60006,27232,27172,0,17160,19784,1152,67,77,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1051,4867,1052,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
34,60036,27262,0,27412,17128,19752,1024,66,77,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1053,4877,1054,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
35,60066,27292,27142,0,20624,19312,1024,80,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4847,1048,50,0,5,TM_OBJECT,10,64,TA_SOUTHEAST,0,0,
36,60096,27322,0,0,15360,9232,640,60,36,6,TS_UNKNOWN_2 | TS_MAPWHO,0,571,2878,571,50,0,5,TM_OBJECT,31,0,TA_SOUTHWEST,0,0,
37,60126,27352,0,0,14464,11392,512,56,44,6,TS_UNKNOWN_2 | TS_MAPWHO,1,0,4632,1041,100,0,5,TM_OBJECT,6,32,TA_SOUTH,0,0,
38,60156,27382,0,0,13160,10216,256,51,39,4,TS_MAPWHO,1,1085,4723,1085,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
