GloOfs,RelOfs,Index,Prev,Next,UseCount,Player,Flags,ActionType,ActionType_S,Action,Action_S,X,Y,Z
114090,81316,0,0,0,0,5,0,3,CPOAT_ATTACK_PLAYER,0,CPOA_NONE,0,0,0
114105,81331,1,0,0,0,255,0,3,CPOAT_ATTACK_PLAYER,0,CPOA_NONE,0,0,0
114120,81346,2,0,3,0,1,0,1,CPOAT_MOVE,9,CPOA_ENTER_VEHICLE,23638,0,0
114135,81361,3,2,0,0,1,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,26848,16592,256
114150,81376,4,0,5,0,1,0,5,CPOAT_FORK_EXEC_FLOW,3,VALUE_UNDEFINED,1,0,0
114165,81391,5,4,0,0,1,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,25364,15372,256
114180,81406,6,0,7,0,5,0,1,CPOAT_MOVE,9,CPOA_ENTER_VEHICLE,23596,0,0
114195,81421,7,6,0,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,26832,16640,256
114210,81436,8,0,0,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,26124,16308,256
114225,81451,9,0,0,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,26108,16308,256
114240,81466,10,0,0,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,26028,16340,256
114255,81481,11,0,0,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,25928,16168,256
114270,81496,12,0,13,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,24200,16696,256
114285,81511,13,12,14,0,5,0,2,CPOAT_DROP_TIME_BOMB,3,VALUE_UNDEFINED,0,0,0
114300,81526,14,13,0,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,23040,18560,256
114315,81541,15,0,16,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,22876,16324,256
114330,81556,16,15,17,0,5,0,2,CPOAT_DROP_TIME_BOMB,3,VALUE_UNDEFINED,0,0,0
114345,81571,17,16,0,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,21344,14704,256
114360,81586,18,0,19,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,24748,16628,256
114375,81601,19,18,20,0,5,0,2,CPOAT_DROP_TIME_BOMB,0,CPOA_NONE,0,0,0
114390,81616,20,19,0,0,5,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,23444,14972,256
114405,81631,21,0,22,0,2,0,5,CPOAT_FORK_EXEC_FLOW,3,VALUE_UNDEFINED,1,0,0
114420,81646,22,21,23,0,2,0,1,CPOAT_MOVE,9,CPOA_ENTER_VEHICLE,23554,16624,256
114435,81661,23,22,24,0,2,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,26828,16676,256
114450,81676,24,23,25,0,2,0,1,CPOAT_MOVE,25,CPOA_EXIT_VEHICLE,0,0,0
114465,81691,25,24,0,0,2,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,24096,16752,256
114480,81706,26,0,0,0,4,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,11612,2340,384
114495,81721,27,0,28,0,3,0,5,CPOAT_FORK_EXEC_FLOW,3,VALUE_UNDEFINED,1,0,0
114510,81736,28,27,29,0,3,0,1,CPOAT_MOVE,9,CPOA_ENTER_VEHICLE,23680,0,0
114525,81751,29,28,30,0,3,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,26568,14584,256
114540,81766,30,29,0,0,3,0,1,CPOAT_MOVE,25,CPOA_EXIT_VEHICLE,0,0,0
114555,81781,31,0,0,0,4,0,1,CPOAT_MOVE,3,CPOA_GOTO_POSITION,12572,2276,384
