Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
0,59016,26242,0,0,21600,9968,384,84,38,4,TS_MAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
1,59046,26272,0,0,22248,9080,384,86,35,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
2,59076,26302,0,0,22248,7032,384,86,27,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
3,59106,26332,0,0,23144,5096,384,90,19,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
4,59136,26362,0,0,22776,15880,768,88,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,571,2870,571,50,0,5,TM_OBJECT,31,128,TA_NORTHEAST,0,0,
5,59166,26392,0,26422,23088,15888,896,90,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4672,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
6,59196,26422,26392,26452,23096,15896,768,90,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4847,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
7,59226,26452,26422,26482,23192,15896,768,90,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4846,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
8,59256,26482,26452,0,23184,15888,896,90,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4847,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
9,59286,26512,0,26542,22496,15904,896,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4672,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
10,59316,26542,26512,26572,22496,15904,768,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4847,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
11,59346,26572,26542,26602,22400,15904,896,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4847,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
12,59376,26602,26572,0,22400,15904,768,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4846,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
13,59406,26632,0,29002,18816,11440,256,73,44,4,TS_MAPWHO,0,1077,4707,1077,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
14,59436,26662,0,0,19640,9352,256,76,36,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
