Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Connected
0,59016,26242,0,0,12000,20608,384,46,80,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4718,1078,40,0,5,TM_OBJECT,12,OS_DOOR,64,TA_SOUTHEAST,0,0
1,59046,26272,0,0,11624,21736,384,45,84,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
2,59076,26302,0,0,6008,22504,256,23,87,4,TS_MAPWHO,0,1101,OB_DOOR_LARGE_LEFTRIGHT,4746,1101,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
3,59106,26332,0,0,6376,19832,640,24,77,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4759,1110,40,0,5,TM_OBJECT,12,OS_DOOR,192,TA_NORTHWEST,0,0
4,59136,26362,0,0,13528,15976,640,52,62,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4759,1110,40,0,5,TM_OBJECT,12,OS_DOOR,192,TA_NORTHWEST,0,0
5,59166,26392,0,0,8560,9200,256,33,35,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
6,59196,26422,0,0,5488,6640,896,21,25,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4707,1077,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
7,59226,26452,0,0,10600,4328,256,41,16,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
8,59256,26482,0,0,16360,1400,768,63,5,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4759,1110,40,0,5,TM_OBJECT,12,OS_DOOR,64,TA_SOUTHEAST,0,0
9,59286,26512,0,0,20072,2280,640,78,8,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
10,59316,26542,0,0,22904,13816,256,89,53,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
11,59346,26572,0,0,18800,20464,256,73,79,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4734,1093,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
12,59376,26602,0,0,16504,2568,1408,64,10,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8267,1960,65534,0,5,TM_OBJECT,37,OS_WINDOWS_TRANSPARENT3,64,TA_SOUTHEAST,0,0
13,59406,26632,0,0,0,0,0,0,0,0,TS_NONE,0,0,OB_NONE,0,0,0,0,0,TM_NONE,0,OS_NONE,0,TA_SOUTHWEST,0,0
14,59436,26662,0,26692,15360,5632,896,60,22,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1059,OB_NEONSIGN_LARGE_YELLOW,4906,1060,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
15,59466,26692,26662,26722,15472,5744,896,60,22,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1057,OB_NEONSIGN_LARGE_BROWN,4892,1058,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
16,59496,26722,26692,27442,15456,5728,768,60,22,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1061,OB_NEONSIGN_LARGE_BLUE,4915,1062,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
17,59526,26752,0,26782,15432,4888,896,60,19,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,OB_NEONSIGN_MEDIUM_BLUE,4852,1049,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,0,TA_SOUTHWEST,0,0
18,59556,26782,26752,0,15408,4864,768,60,19,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,OB_NEONSIGN_MEDIUM_BLUE,4852,1049,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,0,TA_SOUTHWEST,0,0
19,59586,26812,0,0,15248,4992,640,59,19,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4735,1094,40,0,5,TM_OBJECT,12,OS_DOOR,64,TA_SOUTHEAST,0,0
20,59616,26842,0,27052,15728,2960,384,61,11,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4734,1093,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
21,59646,26872,0,26932,15976,3128,896,62,12,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1886,550,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,128,TA_NORTHEAST,0,0
22,59676,26902,0,26962,15784,3128,896,61,12,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1886,550,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,128,TA_NORTHEAST,0,0
23,59706,26932,26872,26992,15880,3128,896,62,12,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1886,550,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,128,TA_NORTHEAST,0,0
24,59736,26962,26902,27022,15688,3128,896,61,12,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,2671,552,50,0,5,TM_OBJECT,18,OS_WINDOW_OPEN,128,TA_NORTHEAST,0,0
25,59766,26992,26932,0,16072,3128,896,62,12,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1886,550,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,128,TA_NORTHEAST,0,0
26,59796,27022,26962,0,15640,3144,512,61,12,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4639,1047,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,128,TA_NORTHEAST,0,0
27,59826,27052,26842,0,15632,3056,512,61,11,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,OB_NEONSIGN_MEDIUM_BLUE,4641,1049,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,128,TA_NORTHEAST,0,0
28,59856,27082,0,0,16464,1312,1024,64,5,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1049,OB_NEONSIGN_MEDIUM_BLUE,4852,1049,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,128,TA_NORTHEAST,0,0
29,59886,27112,0,0,16400,2960,768,64,11,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_TREE_IN_POT,2288,558,50,0,5,TM_OBJECT,22,OS_TREE,192,TA_NORTHWEST,0,0
30,59916,27142,0,27982,16392,7688,1024,64,30,6,TS_UNKNOWN_2 | TS_MAPWHO,0,573,OB_BILLBOARD_BULLFROG_SE,2853,573,50,0,5,TM_OBJECT,31,OS_BILLBOARD,64,TA_SOUTHEAST,0,0
31,59946,27172,0,27412,16384,10992,1024,64,42,6,TS_UNKNOWN_2 | TS_MAPWHO,0,573,OB_BILLBOARD_BULLFROG_SE,2849,573,50,0,5,TM_OBJECT,31,OS_BILLBOARD,64,TA_SOUTHEAST,0,0
32,59976,27202,0,27232,16488,9592,1024,64,37,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1063,OB_NEONSIGN_LARGE_RED,4688,1064,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,64,TA_SOUTHEAST,0,0
