Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkToType,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
0,56328,23554,0,0,24512,2464,768,95,9,4,TS_MAPWHO,0,0,2343,518,40,0,2,TM_VEHICLE,17,VS_FIREENGINE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,128,128
1,56370,23596,15642,0,12928,19200,128,50,75,4,TS_MAPWHO,0,0,1641,416,100,0,2,TM_VEHICLE,5,VS_TRAIN,0,TA_SOUTHWEST,0,15642,0,0,TT_NONE,0,0,0,160,0
2,56412,23638,0,0,12928,18960,128,50,74,4,TS_MAPWHO,0,1,2103,434,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23596,TT_VEHICLE,0,-240,0,0,0
3,56454,23680,0,0,12932,18716,128,50,73,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23638,TT_VEHICLE,4,-244,0,0,0
4,56496,23722,0,0,12932,18460,128,50,72,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23680,TT_VEHICLE,0,-256,0,0,0
5,56538,23764,0,0,12932,18204,128,50,71,4,TS_MAPWHO,0,2,2508,440,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23722,TT_VEHICLE,0,-256,0,0,0
6,56580,23806,0,0,12932,17948,128,50,70,4,TS_MAPWHO,0,1,2103,434,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23764,TT_VEHICLE,0,-256,0,0,0
7,56622,23848,0,0,12924,17764,128,50,69,4,TS_MAPWHO,0,0,2358,418,100,0,2,TM_VEHICLE,5,VS_TRAIN,128,TA_NORTHEAST,0,0,0,23806,TT_VEHICLE,-8,-184,0,160,0
8,56664,23890,5430,0,22666,10432,768,88,40,4,TS_MAPWHO,0,0,1686,452,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,192,TA_NORTHWEST,0,5430,0,0,TT_NONE,0,0,0,100,0
9,56706,23932,0,0,23688,2728,768,92,10,4,TS_MAPWHO,0,0,1683,446,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,100,0
10,56748,23974,10674,0,12096,10080,768,47,39,4,TS_MAPWHO,0,0,1685,450,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,128,TA_NORTHEAST,0,10674,0,0,TT_NONE,0,0,0,100,0
11,56790,24016,12054,0,21312,13972,768,83,54,4,TS_MAPWHO,0,0,1685,450,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,128,TA_NORTHEAST,0,12054,0,0,TT_NONE,0,0,0,100,0
12,56832,24058,12146,0,6924,1728,768,27,6,4,TS_MAPWHO,0,0,1686,452,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,192,TA_NORTHWEST,0,12146,0,0,TT_NONE,0,0,0,100,0
13,56874,24100,12882,0,17216,4264,768,67,16,4,TS_MAPWHO,0,0,1685,450,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,128,TA_NORTHEAST,0,12882,0,0,TT_NONE,0,0,0,100,0
14,56916,24142,13434,0,9550,12992,768,37,50,4,TS_MAPWHO,0,0,1686,452,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,192,TA_NORTHWEST,0,13434,0,0,TT_NONE,0,0,0,100,0
15,56958,24184,13618,0,12096,11830,768,47,46,4,TS_MAPWHO,0,0,1685,450,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,128,TA_NORTHEAST,0,13618,0,0,TT_NONE,0,0,0,100,0
16,57000,24226,15734,41518,10832,12992,768,42,50,4,TS_MAPWHO,0,0,2049,476,120,0,2,TM_VEHICLE,36,VS_POLICECAR,192,TA_NORTHWEST,0,15734,0,0,TT_NONE,0,0,0,120,0
17,57042,24268,15274,41698,12274,12992,768,47,50,4,TS_MAPWHO,0,0,2050,476,120,0,2,TM_VEHICLE,36,VS_POLICECAR,192,TA_NORTHWEST,0,15274,0,0,TT_NONE,0,0,0,120,0
18,57084,24310,14630,41842,16832,13392,768,65,52,4,TS_MAPWHO,0,0,1707,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,TA_SOUTHWEST,0,14630,0,0,TT_NONE,0,0,0,120,0
19,57126,24352,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
20,57168,24394,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
21,57210,24436,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
22,57252,24478,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
23,57294,24520,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
24,57336,24562,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
25,57378,24604,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
26,57420,24646,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
27,57462,24688,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
28,57504,24730,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
29,57546,24772,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
30,57588,24814,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
31,57630,24856,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
32,57672,24898,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
33,57714,24940,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
34,57756,24982,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
35,57798,25024,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
36,57840,25066,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
37,57882,25108,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
