GloOfs,RelOfs,Child,Parent,UseCount,Player,Flags,ActionType,Action,X,Y,Z
114090,81316,0,0,0,255,0,3,0,0,0,0
114105,81331,2,0,0,1,0,10,0,23554,0,0
114120,81346,3,1,0,1,0,8,0,7454,0,0
114135,81361,0,2,0,1,0,3,0,0,0,0
114150,81376,5,0,0,2,0,1,9,23680,0,0
114165,81391,6,4,0,2,0,1,3,17912,13880,256
114180,81406,7,5,0,2,0,1,25,0,0,0
114195,81421,8,6,0,2,0,1,12,0,255,0
114210,81436,0,7,0,2,0,5,0,0,0,0
114225,81451,0,0,0,2,0,3,0,0,0,0
114240,81466,11,0,0,2,0,8,0,7546,0,0
114255,81481,12,10,0,2,0,10,0,23554,0,0
114270,81496,13,11,0,2,0,8,0,7454,0,0
114285,81511,0,12,0,2,0,3,0,0,0,0
114300,81526,15,0,0,2,0,10,0,23596,0,0
114315,81541,0,14,0,2,0,3,0,0,0,0
114330,81556,0,0,0,3,0,5,0,0,0,0
114345,81571,18,0,0,3,0,7,0,200,0,0
114360,81586,19,17,0,3,0,8,0,7454,0,0
114375,81601,0,18,0,3,0,3,0,0,0,0
114390,81616,0,0,0,0,64,0,0,0,0,0
114405,81631,0,0,0,0,64,0,0,0,0,0
114420,81646,0,0,0,0,64,0,0,0,0,0
114435,81661,0,0,0,0,64,0,0,0,0,0
114450,81676,0,0,0,0,64,0,0,0,0,0
114465,81691,0,0,0,0,64,0,0,0,0,0
114480,81706,0,0,0,0,64,0,0,0,0,0
114495,81721,0,0,0,0,64,0,0,0,0,0
114510,81736,0,0,0,0,64,0,0,0,0,0
114525,81751,0,0,0,0,64,0,0,0,0,0
114540,81766,0,0,0,0,64,0,0,0,0,0
114555,81781,0,0,0,0,64,0,0,0,0,0
114570,81796,0,0,0,0,64,0,0,0,0,0
114585,81811,0,0,0,0,64,0,0,0,0,0
114600,81826,0,0,0,0,64,0,0,0,0,0
114615,81841,0,0,0,0,64,0,0,0,0,0
114630,81856,0,0,0,0,64,0,0,0,0,0
114645,81871,0,0,0,0,64,0,0,0,0,0
114660,81886,0,0,0,0,64,0,0,0,0,0
114675,81901,0,0,0,0,64,0,0,0,0,0
114690,81916,0,0,0,0,64,0,0,0,0,0
114705,81931,0,0,0,0,64,0,0,0,0,0
114720,81946,0,0,0,0,64,0,0,0,0,0
114735,81961,0,0,0,0,64,0,0,0,0,0
114750,81976,0,0,0,0,64,0,0,0,0,0
114765,81991,0,0,0,0,64,0,0,0,0,0
114780,82006,0,0,0,0,64,0,0,0,0,0
114795,82021,0,0,0,0,64,0,0,0,0,0
114810,82036,0,0,0,0,64,0,0,0,0,0
114825,82051,0,0,0,0,64,0,0,0,0,0
114840,82066,0,0,0,0,64,0,0,0,0,0
114855,82081,0,0,0,0,64,0,0,0,0,0
114870,82096,0,0,0,0,64,0,0,0,0,0
114885,82111,0,0,0,0,64,0,0,0,0,0
114900,82126,0,0,0,0,64,0,0,0,0,0
114915,82141,0,0,0,0,64,0,0,0,0,0
114930,82156,0,0,0,0,64,0,0,0,0,0
114945,82171,0,0,0,0,64,0,0,0,0,0
114960,82186,0,0,0,0,64,0,0,0,0,0
114975,82201,0,0,0,0,64,0,0,0,0,0
114990,82216,0,0,0,0,64,0,0,0,0,0
115005,82231,0,0,0,0,64,0,0,0,0,0
115020,82246,0,0,0,0,64,0,0,0,0,0
115035,82261,0,0,0,0,64,0,0,0,0,0
115050,82276,0,0,0,0,64,0,0,0,0,0
115065,82291,0,0,0,0,64,0,0,0,0,0
115080,82306,0,0,0,0,64,0,0,0,0,0
115095,82321,0,0,0,0,64,0,0,0,0,0
115110,82336,0,0,0,0,64,0,0,0,0,0
115125,82351,0,0,0,0,64,0,0,0,0,0
115140,82366,0,0,0,0,64,0,0,0,0,0
115155,82381,0,0,0,0,64,0,0,0,0,0
115170,82396,0,0,0,0,64,0,0,0,0,0
115185,82411,0,0,0,0,64,0,0,0,0,0
115200,82426,0,0,0,0,64,0,0,0,0,0
115215,82441,0,0,0,0,64,0,0,0,0,0
115230,82456,0,0,0,0,64,0,0,0,0,0
115245,82471,0,0,0,0,64,0,0,0,0,0
115260,82486,0,0,0,0,64,0,0,0,0,0
115275,82501,0,0,0,0,64,0,0,0,0,0
115290,82516,0,0,0,0,64,0,0,0,0,0
115305,82531,0,0,0,0,64,0,0,0,0,0
115320,82546,0,0,0,0,64,0,0,0,0,0
115335,82561,0,0,0,0,64,0,0,0,0,0
115350,82576,0,0,0,0,64,0,0,0,0,0
115365,82591,0,0,0,0,64,0,0,0,0,0
115380,82606,0,0,0,0,64,0,0,0,0,0
115395,82621,0,0,0,0,64,0,0,0,0,0
115410,82636,0,0,0,0,64,0,0,0,0,0
115425,82651,0,0,0,0,64,0,0,0,0,0
115440,82666,0,0,0,0,64,0,0,0,0,0
115455,82681,0,0,0,0,64,0,0,0,0,0
115470,82696,0,0,0,0,64,0,0,0,0,0
115485,82711,0,0,0,0,64,0,0,0,0,0
115500,82726,0,0,0,0,64,0,0,0,0,0
115515,82741,0,0,0,0,64,0,0,0,0,0
115530,82756,0,0,0,0,64,0,0,0,0,0
115545,82771,0,0,0,0,64,0,0,0,0,0
115560,82786,0,0,0,0,64,0,0,0,0,0
115575,82801,0,0,0,0,64,0,0,0,0,0
115590,82816,0,0,0,0,64,0,0,0,0,0
115605,82831,0,0,0,0,64,0,0,0,0,0
