Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
0,71016,38242,1198,0,16544,7792,640,64,30,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,1198,1198,0
1,71052,38278,1290,0,17332,7804,640,67,30,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,1290,1290,0
2,71088,38314,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,WS_NONE,0,TA_SOUTHWEST,0,0,0,0,0
3,71124,38350,1658,0,24572,6068,896,95,23,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,1658,1658,0
4,71160,38386,1382,0,24784,6064,896,96,23,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,1382,1382,0
5,71196,38422,1474,0,24964,6060,896,97,23,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,1474,1474,0
6,71232,38458,2302,38746,18368,9104,256,71,35,5,TS_NODRAW | TS_MAPWHO,0,0,2273,374,1199,0,4,TM_WEAPON,8,WS_FLAMER,0,TA_SOUTHWEST,0,0,1566,1566,0
7,71268,38494,1750,0,8108,6068,896,31,23,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,1750,1750,0
8,71304,38530,1842,0,8196,5916,768,32,23,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,1842,1842,0
9,71340,38566,1934,0,8584,6040,896,33,23,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,1934,1934,0
10,71376,38602,2026,0,8844,6052,896,34,23,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,2026,2026,0
11,71412,38638,0,26302,20872,15544,256,81,60,4,TS_MAPWHO,0,0,2275,374,1199,0,4,TM_WEAPON,8,WS_FLAMER,0,TA_SOUTHWEST,0,0,0,0,0
12,71448,38674,2118,0,18368,8640,256,71,33,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,132,TA_NORTHEAST,0,0,2118,2118,0
13,71484,38710,2210,0,18368,8128,256,71,31,5,TS_NODRAW | TS_MAPWHO,0,0,2026,372,1599,0,4,TM_WEAPON,6,WS_MINIGUN,119,TA_NORTHEAST,0,0,2210,2210,0
14,71520,38746,38458,0,18368,9024,256,71,35,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,132,TA_NORTHEAST,0,0,2302,2302,0
15,71556,38782,2394,0,18368,7744,256,71,30,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,120,TA_NORTHEAST,0,0,2394,2394,0
16,71592,38818,2486,0,11072,8128,256,43,31,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,69,TA_SOUTHEAST,0,0,2486,2486,0
17,71628,38854,3406,39178,13120,8000,256,51,31,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,112,TA_NORTHEAST,0,0,2578,2578,0
18,71664,38890,2670,0,15424,9280,256,60,36,5,TS_NODRAW | TS_MAPWHO,0,0,2267,372,1599,0,4,TM_WEAPON,6,WS_MINIGUN,120,TA_NORTHEAST,0,0,2670,2670,0
19,71700,38926,3498,39214,13120,9280,256,51,36,5,TS_NODRAW | TS_MAPWHO,0,0,2023,374,1199,0,4,TM_WEAPON,8,WS_FLAMER,111,TA_EAST,0,0,2762,2762,0
20,71736,38962,2854,0,10304,10560,256,40,41,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,232,TA_WEST,0,0,2854,2854,0
