GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown[0],Unknown[1]
59016,26242,0,0,7784,6632,256,30,25,4,TS_MAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59046,26272,0,0,7288,6664,1152,28,26,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
59076,26302,0,0,8056,6664,896,31,26,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,0
59106,26332,0,26692,8976,4816,384,35,18,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59136,26362,0,0,8984,1880,384,35,7,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59166,26392,0,26962,8984,2392,384,35,9,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59196,26422,0,26932,8984,2136,384,35,8,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59226,26452,0,26992,8984,2648,384,35,10,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59256,26482,0,27022,8984,2904,384,35,11,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59286,26512,0,26902,8984,3416,384,35,13,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59316,26542,0,26872,8984,3160,384,35,12,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59346,26572,0,26782,8984,3672,384,35,14,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59376,26602,0,26752,8984,4184,384,35,16,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59406,26632,0,26812,8984,3928,384,35,15,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59436,26662,0,26722,8984,4440,384,35,17,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59466,26692,26332,0,8984,4696,384,35,18,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59496,26722,26662,0,8984,4568,384,35,17,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59526,26752,26602,0,8984,4312,384,35,16,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
59556,26782,26572,0,8984,3800,384,35,14,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,0
