GloOfs,RelOfs,LocOfs,Next,Data,GotoX,GotoY,GotoZ,State,State_S
97128,64354,0,0,0,0,0,0,0,CS_NONE
97136,64362,8,16,0,148,12,6,1,CS_GOTO_POINT
97144,64370,16,24,0,148,15,3,8,CS_WAIT_FOR_TRIGGER
97152,64378,24,32,23596,0,0,0,2,CS_USE_VEHICLE
97160,64386,32,40,0,110,176,2,1,CS_GOTO_POINT
97168,64394,40,0,0,0,0,0,11,CS_COMPLETE_LEVEL
97176,64402,48,56,0,148,12,6,1,CS_GOTO_POINT
97184,64410,56,64,0,144,16,3,8,CS_WAIT_FOR_TRIGGER
97192,64418,64,72,23596,0,0,0,2,CS_USE_VEHICLE
97200,64426,72,80,0,203,23,2,1,CS_GOTO_POINT
97208,64434,80,88,23596,0,0,0,3,CS_LEAVE_VEHICLE
97216,64442,88,96,0,211,13,8,1,CS_GOTO_POINT
97224,64450,96,0,0,0,0,0,11,CS_COMPLETE_LEVEL
97232,64458,104,112,0,147,12,6,1,CS_GOTO_POINT
97240,64466,112,120,0,144,16,3,8,CS_WAIT_FOR_TRIGGER
97248,64474,120,128,23596,0,0,0,2,CS_USE_VEHICLE
97256,64482,128,136,0,97,146,2,1,CS_GOTO_POINT
97264,64490,136,144,23596,0,0,0,3,CS_LEAVE_VEHICLE
97272,64498,144,152,0,89,163,9,1,CS_GOTO_POINT
97280,64506,152,0,0,0,0,0,11,CS_COMPLETE_LEVEL
97288,64514,160,168,0,147,12,6,1,CS_GOTO_POINT
97296,64522,168,176,23596,0,0,0,2,CS_USE_VEHICLE
97304,64530,176,0,0,149,19,3,1,CS_GOTO_POINT
97312,64538,184,192,0,148,12,6,1,CS_GOTO_POINT
97320,64546,192,200,0,144,16,3,8,CS_WAIT_FOR_TRIGGER
97328,64554,200,208,23596,0,0,0,2,CS_USE_VEHICLE
97336,64562,208,216,0,104,151,2,1,CS_GOTO_POINT
97344,64570,216,224,23596,0,0,0,3,CS_LEAVE_VEHICLE
97352,64578,224,232,0,88,163,9,1,CS_GOTO_POINT
97360,64586,232,0,0,0,0,0,11,CS_COMPLETE_LEVEL
97368,64594,240,248,23722,0,0,0,2,CS_USE_VEHICLE
97376,64602,248,0,0,113,16,2,1,CS_GOTO_POINT
97384,64610,256,264,23680,0,0,0,2,CS_USE_VEHICLE
97392,64618,264,0,0,117,18,2,1,CS_GOTO_POINT
97400,64626,272,280,23764,0,0,0,2,CS_USE_VEHICLE
97408,64634,280,0,0,138,73,2,1,CS_GOTO_POINT
97416,64642,288,296,23806,0,0,0,2,CS_USE_VEHICLE
97424,64650,296,0,0,144,71,2,1,CS_GOTO_POINT
97432,64658,304,312,23848,0,0,0,2,CS_USE_VEHICLE
97440,64666,312,0,0,145,72,2,1,CS_GOTO_POINT
97448,64674,320,328,23890,0,0,0,2,CS_USE_VEHICLE
97456,64682,328,0,0,116,128,2,1,CS_GOTO_POINT
97464,64690,336,344,0,177,109,2,8,CS_WAIT_FOR_TRIGGER
97472,64698,344,352,0,180,107,2,12,CS_TOTAL_COMMANDS
97480,64706,352,0,0,0,0,0,9,CS_END_COMMANDS
97488,64714,360,368,23638,0,0,0,2,CS_USE_VEHICLE
97496,64722,368,376,0,53,106,2,8,CS_WAIT_FOR_TRIGGER
97504,64730,376,384,0,118,146,2,1,CS_GOTO_POINT
97512,64738,384,392,0,124,143,2,1,CS_GOTO_POINT
97520,64746,392,400,0,0,0,0,3,CS_LEAVE_VEHICLE
97528,64754,400,408,0,125,141,2,1,CS_GOTO_POINT
97536,64762,408,0,0,0,0,0,9,CS_END_COMMANDS
97544,64770,416,424,23638,0,0,0,2,CS_USE_VEHICLE
97552,64778,424,432,0,0,0,0,3,CS_LEAVE_VEHICLE
97560,64786,432,0,0,0,0,0,9,CS_END_COMMANDS
97568,64794,440,448,23638,0,0,0,2,CS_USE_VEHICLE
97576,64802,448,456,0,125,144,2,1,CS_GOTO_POINT
97584,64810,456,0,0,0,0,0,9,CS_END_COMMANDS
97592,64818,464,472,23638,0,0,0,3,CS_LEAVE_VEHICLE
97600,64826,472,480,0,53,106,2,8,CS_WAIT_FOR_TRIGGER
97608,64834,480,488,0,120,146,2,1,CS_GOTO_POINT
97616,64842,488,496,0,125,143,2,1,CS_GOTO_POINT
97624,64850,496,504,0,0,0,0,3,CS_LEAVE_VEHICLE
97632,64858,504,0,0,0,0,0,9,CS_END_COMMANDS
97640,64866,512,520,23638,0,0,0,2,CS_USE_VEHICLE
97648,64874,520,528,0,53,106,2,8,CS_WAIT_FOR_TRIGGER
97656,64882,528,536,0,114,146,2,1,CS_GOTO_POINT
97664,64890,536,544,0,125,143,2,1,CS_GOTO_POINT
97672,64898,544,552,0,0,0,0,3,CS_LEAVE_VEHICLE
97680,64906,552,0,0,0,0,0,9,CS_END_COMMANDS
97688,64914,560,568,23638,0,0,0,2,CS_USE_VEHICLE
97696,64922,568,576,0,0,0,0,3,CS_LEAVE_VEHICLE
97704,64930,576,584,0,125,141,2,1,CS_GOTO_POINT
97712,64938,584,0,0,0,0,0,9,CS_END_COMMANDS
97720,64946,592,600,23638,0,0,0,2,CS_USE_VEHICLE
97728,64954,600,608,0,0,0,0,3,CS_LEAVE_VEHICLE
97736,64962,608,616,0,126,145,2,1,CS_GOTO_POINT
97744,64970,616,0,0,0,0,0,9,CS_END_COMMANDS
97752,64978,624,632,23638,0,0,0,2,CS_USE_VEHICLE
97760,64986,632,640,0,0,0,0,3,CS_LEAVE_VEHICLE
97768,64994,640,0,0,0,0,0,9,CS_END_COMMANDS
