GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
59016,26242,0,0,21600,9968,384,84,38,4,TS_MAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
59046,26272,0,0,22248,9080,384,86,35,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59076,26302,0,0,22248,7032,384,86,27,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59106,26332,0,0,23144,5096,384,90,19,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59136,26362,0,0,22776,15880,768,88,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,571,2875,571,50,0,5,TM_OBJECT,31,128,TA_NORTHEAST,0,0,
59166,26392,0,26422,23088,15888,896,90,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4846,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
59196,26422,26392,26452,23096,15896,768,90,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4844,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
59226,26452,26422,26482,23192,15896,768,90,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4843,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
59256,26482,26452,0,23184,15888,896,90,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4844,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
59286,26512,0,26542,22496,15904,896,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4846,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
59316,26542,26512,26572,22496,15904,768,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4844,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
59346,26572,26542,26602,22400,15904,896,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4844,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
59376,26602,26572,0,22400,15904,768,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1047,4843,1048,50,0,5,TM_OBJECT,10,192,TA_NORTHWEST,0,0,
