GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkToType,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
56328,23554,18402,0,25398,16320,256,99,63,4,TS_MAPWHO,0,0,1686,452,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,192,TA_NORTHWEST,0,18402,0,0,TT_NONE,0,0,0,100,0
56370,23596,18494,0,26351,16704,256,102,65,4,TS_MAPWHO,0,0,2316,520,40,0,2,TM_VEHICLE,17,VS_FIREENGINE,64,TA_SOUTHEAST,0,18494,0,0,TT_NONE,0,0,0,110,0
56412,23638,18586,0,15936,13276,256,62,51,4,TS_MAPWHO,0,0,1685,450,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,128,TA_NORTHEAST,0,18586,0,0,TT_NONE,0,0,0,100,0
56454,23680,18678,0,15552,13216,256,60,51,4,TS_MAPWHO,0,0,1683,446,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,0,TA_SOUTHWEST,0,18678,0,0,TT_NONE,0,0,0,100,0
56496,23722,18770,0,18698,11968,256,73,46,4,TS_MAPWHO,0,0,1686,452,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,192,TA_NORTHWEST,0,18770,0,0,TT_NONE,0,0,0,100,0
56538,23764,18862,0,17536,7988,1280,68,31,4,TS_MAPWHO,0,0,1641,416,100,0,2,TM_VEHICLE,5,VS_TRAIN,0,TA_SOUTHWEST,0,18862,0,0,TT_NONE,0,0,0,160,0
56580,23806,0,0,17544,7756,1280,68,30,4,TS_MAPWHO,0,2,2508,440,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23764,TT_VEHICLE,8,-232,0,0,0
56622,23848,0,0,17544,7500,1280,68,29,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23806,TT_VEHICLE,0,-256,0,0,0
56664,23890,0,0,17544,7244,1280,68,28,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23848,TT_VEHICLE,0,-256,0,0,0
56706,23932,0,0,17544,6988,1280,68,27,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23890,TT_VEHICLE,0,-256,0,0,0
56748,23974,0,0,17540,6736,1280,68,26,4,TS_MAPWHO,0,1,2103,434,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23932,TT_VEHICLE,-4,-252,0,0,0
56790,24016,0,0,17544,6572,1280,68,25,4,TS_MAPWHO,0,0,2358,418,100,0,2,TM_VEHICLE,5,VS_TRAIN,128,TA_NORTHEAST,0,0,0,23974,TT_VEHICLE,4,-164,0,160,0
56832,24058,18954,0,18282,3392,256,71,13,4,TS_MAPWHO,0,0,1684,448,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,64,TA_SOUTHEAST,0,18954,0,0,TT_NONE,0,0,0,100,0
56874,24100,19046,39070,22684,11968,256,88,46,4,TS_MAPWHO,0,0,2048,476,120,0,2,TM_VEHICLE,36,VS_POLICECAR,192,TA_NORTHWEST,0,19046,0,0,TT_NONE,0,0,0,120,0
