GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
71016,38242,5890,0,26396,13055,256,103,50,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,63,TA_SOUTHEAST,0,0,5890,5890,0
71052,38278,17114,0,22868,8196,256,89,32,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,64,TA_SOUTHEAST,0,0,5982,5982,0
71088,38314,6074,0,12517,8395,256,48,32,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,64,TA_SOUTHEAST,0,0,6074,6074,0
71124,38350,6166,0,22806,8742,256,89,34,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,124,TA_NORTHEAST,0,0,6166,6166,0
71160,38386,6258,0,7169,21128,256,28,82,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,189,TA_NORTHWEST,0,0,6258,6258,0
71196,38422,6350,0,11759,12594,256,45,49,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,6350,6350,0
71232,38458,6442,0,6824,6056,256,26,23,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,202,TA_NORTHWEST,0,0,6442,6442,0
71268,38494,6534,0,27063,10763,256,105,42,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,193,TA_NORTHWEST,0,0,6534,6534,0
71304,38530,6626,0,9575,4432,256,37,17,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,190,TA_NORTHWEST,0,0,6626,6626,0
71340,38566,6718,0,7489,11669,256,29,45,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,7,TA_SOUTHWEST,0,0,6718,6718,0
71376,38602,6810,0,14934,3594,256,58,14,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,6,TA_SOUTHWEST,0,0,6810,6810,0
71412,38638,6902,0,25195,9895,256,98,38,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,187,TA_NORTHWEST,0,0,6902,6902,0
