Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
0,71016,38242,5890,0,3560,17742,256,13,69,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,193,TA_NORTHWEST,0,0,5890,5890,0
1,71052,38278,5982,0,17133,6355,256,66,24,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,191,TA_NORTHWEST,0,0,5982,5982,0
2,71088,38314,6074,0,14340,3064,256,56,11,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,65,TA_SOUTHEAST,0,0,6074,6074,0
3,71124,38350,6166,0,25480,7695,384,99,30,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,184,TA_NORTHWEST,0,0,6166,6166,0
4,71160,38386,6258,0,19691,2755,256,76,10,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,250,TA_SOUTHWEST,0,0,6258,6258,0
5,71196,38422,6350,0,7311,4026,256,28,15,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,70,TA_SOUTHEAST,0,0,6350,6350,0
6,71232,38458,6442,0,1546,3791,256,6,14,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,123,TA_NORTHEAST,0,0,6442,6442,0
7,71268,38494,6534,0,5328,19492,402,20,76,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,250,TA_SOUTHWEST,0,0,6534,6534,0
8,71304,38530,6626,0,2577,11456,256,10,44,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,138,TA_NORTHEAST,0,0,6626,6626,0
9,71340,38566,6718,0,18794,11733,256,73,45,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,197,TA_NORTHWEST,0,0,6718,6718,0
10,71376,38602,6810,0,16014,1243,256,62,4,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,195,TA_NORTHWEST,0,0,6810,6810,0
11,71412,38638,13250,0,3554,4959,256,13,19,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,3,TA_SOUTHWEST,0,0,6902,6902,0
12,71448,38674,6994,0,25101,1900,256,98,7,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,1,TA_SOUTHWEST,0,0,6994,6994,0
13,71484,38710,7086,0,2727,2600,256,10,10,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,14,TA_SOUTHWEST,0,0,7086,7086,0
14,71520,38746,7178,0,2300,14338,256,8,56,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,192,TA_NORTHWEST,0,0,7178,7178,0
15,71556,38782,7270,0,14103,6487,256,55,25,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,129,TA_NORTHEAST,0,0,7270,7270,0
16,71592,38818,7362,0,9259,17671,256,36,69,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,188,TA_NORTHWEST,0,0,7362,7362,0
17,71628,38854,7454,0,26644,7965,256,104,31,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,194,TA_NORTHWEST,0,0,7454,7454,0
18,71664,38890,7546,0,3303,3470,256,12,13,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,246,TA_SOUTHWEST,0,0,7546,7546,0
19,71700,38926,7638,0,1552,11633,256,6,45,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,0,TA_SOUTHWEST,0,0,7638,7638,0
20,71736,38962,7730,0,26628,2314,256,104,9,5,TS_NODRAW | TS_MAPWHO,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,127,TA_NORTHEAST,0,0,7730,7730,0
