GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
56328,23554,0,0,28980,3724,256,113,14,4,TS_MAPWHO,0,0,1707,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,TA_SOUTHWEST,0,0,0,0,0,0,0,120,0
56370,23596,0,0,22724,3804,256,88,14,4,TS_MAPWHO,0,0,1412,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,TA_SOUTHWEST,0,0,0,0,0,0,0,120,0
56412,23638,0,0,18364,3812,256,71,14,4,TS_MAPWHO,0,0,1413,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,TA_SOUTHWEST,0,0,0,0,0,0,0,120,0
56454,23680,0,0,12476,3812,256,48,14,4,TS_MAPWHO,0,0,1707,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,TA_SOUTHWEST,0,0,0,0,0,0,0,120,0
56496,23722,0,0,7596,4740,256,29,18,4,TS_MAPWHO,0,0,1708,472,120,0,2,TM_VEHICLE,36,VS_POLICECAR,64,TA_SOUTHEAST,0,0,0,0,0,0,0,120,0
56538,23764,0,0,10992,9776,256,42,38,4,TS_MAPWHO,0,0,1412,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,TA_SOUTHWEST,0,0,0,0,0,0,0,120,0
56580,23806,0,0,5520,6160,256,21,24,4,TS_MAPWHO,0,0,2036,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,TA_SOUTHWEST,0,0,0,0,0,0,0,120,0
56622,23848,0,0,2716,20308,256,10,79,4,TS_MAPWHO,0,0,2041,474,120,0,2,TM_VEHICLE,36,VS_POLICECAR,128,TA_NORTHEAST,0,0,0,0,0,0,0,120,0
56664,23890,0,0,15280,20000,256,59,78,4,TS_MAPWHO,0,0,1709,474,120,0,2,TM_VEHICLE,36,VS_POLICECAR,128,TA_NORTHEAST,0,0,0,0,0,0,0,120,0
56706,23932,0,0,23032,20248,256,89,79,4,TS_MAPWHO,0,0,1709,474,120,0,2,TM_VEHICLE,36,VS_POLICECAR,128,TA_NORTHEAST,0,0,0,0,0,0,0,120,0
56748,23974,0,0,29268,20140,256,114,78,4,TS_MAPWHO,0,0,2044,474,120,0,2,TM_VEHICLE,36,VS_POLICECAR,128,TA_NORTHEAST,0,0,0,0,0,0,0,120,0
56790,24016,0,0,23164,13988,256,90,54,4,TS_MAPWHO,0,0,1413,470,120,0,2,TM_VEHICLE,36,VS_POLICECAR,0,TA_SOUTHWEST,0,0,0,0,0,0,0,120,0
56832,24058,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,0,0,0,0,0
56874,24100,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,0,0,0,0,0
56916,24142,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,0,0,0,0,0
56958,24184,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,0,0,0,0,0
57000,24226,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,0,0,0,0,0
