Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Connected
0,59016,26242,0,0,21600,14320,384,84,55,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
1,59046,26272,0,0,22248,13432,384,86,52,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4735,1094,40,0,5,TM_OBJECT,12,OS_DOOR,64,TA_SOUTHEAST,0,0
2,59076,26302,0,0,22248,11384,384,86,44,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4741,1098,40,0,5,TM_OBJECT,14,OS_DOOR3,64,TA_SOUTHEAST,0,0
3,59106,26332,0,0,23144,9448,384,90,36,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4734,1093,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
4,59136,26362,0,0,22776,20232,768,88,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,571,OB_BILLBOARD_DRINK_SW,2885,571,50,0,5,TM_OBJECT,31,OS_BILLBOARD,128,TA_NORTHEAST,0,0
5,59166,26392,0,26422,23088,20240,896,90,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4843,1048,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
6,59196,26422,26392,26452,23096,20248,768,90,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4671,1048,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
7,59226,26452,26422,26482,23192,20248,768,90,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4847,1048,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
8,59256,26482,26452,0,23184,20240,896,90,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4671,1048,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
9,59286,26512,0,26542,22496,20256,896,87,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4843,1048,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
10,59316,26542,26512,26572,22496,20256,768,87,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4671,1048,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
11,59346,26572,26542,26602,22400,20256,896,87,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4671,1048,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
12,59376,26602,26572,0,22400,20256,768,87,79,6,TS_DRAW_ON_TOP | TS_MAPWHO,0,1047,OB_NEONSIGN_MEDIUM_YELLOW2,4847,1048,50,0,5,TM_OBJECT,10,OS_NEON_SIGN,192,TA_NORTHWEST,0,0
13,59406,26632,0,29002,18816,15792,256,73,61,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4707,1077,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
14,59436,26662,0,0,19640,13704,256,76,53,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4725,1086,40,0,5,TM_OBJECT,12,OS_DOOR,192,TA_NORTHWEST,0,0
15,59466,26692,0,0,15984,6384,256,62,24,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
16,59496,26722,0,0,14960,6640,384,58,25,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4734,1093,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
17,59526,26752,0,0,13680,6640,384,53,25,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
18,59556,26782,0,0,12656,6640,384,49,25,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
19,59586,26812,0,0,11632,6640,384,45,25,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
