Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,Affect_S,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
0,56328,23554,0,0,22968,19784,256,89,77,4,TS_MAPWHO,0,VA_NONE,0,0,400,600,0,2,TM_VEHICLE,1,VS_APC,0,TA_SOUTHWEST,0,0,0,0,0,0,0,64,64
1,56370,23596,0,0,11288,23912,256,44,93,4,TS_MAPWHO,0,VA_NONE,0,1685,450,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,128,TA_NORTHEAST,0,0,0,0,0,0,0,100,0
2,56412,23638,8374,0,16576,11636,256,64,45,4,TS_MAPWHO,256,VA_UNKNOWN_100,0,1683,446,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,0,TA_SOUTHWEST,0,8374,0,0,0,0,0,100,0
3,56454,23680,0,0,15280,7840,256,59,30,4,TS_MAPWHO,0,VA_NONE,0,2415,534,10,0,2,TM_VEHICLE,28,VS_INDUSTRIAL,0,TA_SOUTHWEST,0,0,0,0,0,0,0,48,0
4,56496,23722,8558,40654,11584,7944,256,45,31,4,TS_MAPWHO,0,VA_NONE,0,2045,474,120,0,2,TM_VEHICLE,36,VS_POLICECAR,128,TA_NORTHEAST,0,8558,0,0,0,0,0,120,0
5,56538,23764,4602,40690,11676,16312,256,45,63,4,TS_MAPWHO,256,VA_UNKNOWN_100,0,2043,474,120,0,2,TM_VEHICLE,36,VS_POLICECAR,128,TA_NORTHEAST,0,4602,0,0,0,0,0,120,0
6,56580,23806,8650,0,16928,16960,256,66,66,4,TS_MAPWHO,256,VA_UNKNOWN_100,0,1684,448,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,64,TA_SOUTHEAST,0,8650,0,0,0,0,0,100,0
7,56622,23848,3682,0,11200,15129,256,43,59,4,TS_MAPWHO,256,VA_UNKNOWN_100,0,2051,494,115,0,2,TM_VEHICLE,40,VS_AMBULANCE,0,TA_SOUTHWEST,0,3682,0,0,0,0,0,115,0
8,56664,23890,4694,40546,24252,19316,256,94,75,4,TS_MAPWHO,0,VA_NONE,0,2392,400,600,0,2,TM_VEHICLE,1,VS_APC,0,TA_SOUTHWEST,0,4694,0,0,0,0,0,58,0
9,56706,23932,0,0,0,0,0,0,0,0,TS_NONE,0,VA_NONE,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,0,0,0,0,0
