Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkToType,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
0,56328,23554,738,0,10460,11392,1152,40,44,4,TS_MAPWHO,0,0,2360,419,1000,0,2,TM_VEHICLE,5,VS_TRAIN,192,TA_NORTHWEST,0,738,0,0,TT_NONE,0,0,0,160,128
1,56370,23596,0,0,10640,11404,1152,41,44,4,TS_MAPWHO,0,2,2512,441,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,192,TA_NORTHWEST,0,0,0,23554,TT_VEHICLE,180,12,0,0,0
2,56412,23638,0,0,10896,11404,1152,42,44,4,TS_MAPWHO,0,0,1644,429,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,192,TA_NORTHWEST,0,0,0,23596,TT_VEHICLE,256,0,0,0,0
3,56454,23680,0,0,11152,11404,1152,43,44,4,TS_MAPWHO,0,0,1644,429,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,192,TA_NORTHWEST,0,0,0,23638,TT_VEHICLE,256,0,0,0,0
4,56496,23722,0,0,11408,11404,1152,44,44,4,TS_MAPWHO,0,0,1644,429,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,192,TA_NORTHWEST,0,0,0,23680,TT_VEHICLE,256,0,0,0,0
5,56538,23764,0,0,11664,11404,1152,45,44,4,TS_MAPWHO,0,1,2491,435,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,192,TA_NORTHWEST,0,0,0,23722,TT_VEHICLE,256,0,0,0,0
6,56580,23806,0,0,11864,11380,1152,46,44,4,TS_MAPWHO,0,0,2359,417,1000,0,2,TM_VEHICLE,5,VS_TRAIN,64,TA_SOUTHEAST,0,0,0,23764,TT_VEHICLE,200,-24,0,160,0
7,56622,23848,0,0,23128,13800,256,90,53,4,TS_MAPWHO,0,0,2396,402,400,0,2,TM_VEHICLE,1,VS_APC,64,TA_SOUTHEAST,0,0,0,0,TT_NONE,0,0,0,58,0
8,56664,23890,0,0,8272,26288,768,32,102,4,TS_MAPWHO,0,0,1685,450,60,0,2,TM_VEHICLE,13,VS_CIVILCAR,128,TA_NORTHEAST,0,0,0,0,TT_NONE,0,0,0,100,0
9,56706,23932,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
10,56748,23974,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
11,56790,24016,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
12,56832,24058,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
13,56874,24100,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
14,56916,24142,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
15,56958,24184,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
16,57000,24226,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
17,57042,24268,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
18,57084,24310,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
19,57126,24352,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
20,57168,24394,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
21,57210,24436,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
22,57252,24478,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
23,57294,24520,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
