Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkToType,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
0,56328,23554,0,0,24512,6816,768,95,26,4,TS_MAPWHO,0,0,2344,518,2000,0,2,TM_VEHICLE,17,VS_FIREENGINE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,128,128
1,56370,23596,15642,0,12928,23552,128,50,92,4,TS_MAPWHO,0,0,1641,416,1000,0,2,TM_VEHICLE,5,VS_TRAIN,255,TA_SOUTHWEST,0,15642,0,0,TT_NONE,0,0,0,160,0
2,56412,23638,0,0,12928,23312,128,50,91,4,TS_MAPWHO,0,1,2103,434,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,255,TA_SOUTHWEST,0,0,0,23596,TT_VEHICLE,0,-240,0,0,0
3,56454,23680,0,0,12932,23068,128,50,90,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,255,TA_SOUTHWEST,0,0,0,23638,TT_VEHICLE,4,-244,0,0,0
4,56496,23722,0,0,12932,22812,128,50,89,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,255,TA_SOUTHWEST,0,0,0,23680,TT_VEHICLE,0,-256,0,0,0
5,56538,23764,0,0,12932,22556,128,50,88,4,TS_MAPWHO,0,2,2508,440,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,255,TA_SOUTHWEST,0,0,0,23722,TT_VEHICLE,0,-256,0,0,0
6,56580,23806,0,0,12932,22300,128,50,87,4,TS_MAPWHO,0,1,2103,434,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,255,TA_SOUTHWEST,0,0,0,23764,TT_VEHICLE,0,-256,0,0,0
7,56622,23848,0,0,12924,22116,128,50,86,4,TS_MAPWHO,0,0,2358,418,1000,0,2,TM_VEHICLE,5,VS_TRAIN,127,TA_NORTHEAST,0,0,0,23806,TT_VEHICLE,-8,-184,0,160,0
8,56664,23890,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
9,56706,23932,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
10,56748,23974,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
