Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
0,71016,38242,4234,38494,17840,5056,640,69,19,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,38494,2,2,1536
1,71052,38278,186,38314,17960,5048,640,70,19,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,38566,94,94,1536
2,71088,38314,38278,38566,18112,5040,640,70,19,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,38602,186,186,1536
3,71124,38350,278,38638,18280,5048,640,71,19,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,38638,278,278,1536
4,71160,38386,462,38422,18432,5056,640,72,19,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,38674,370,370,1536
5,71196,38422,38386,38674,18584,5064,640,72,19,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,38710,462,462,1536
6,71232,38458,646,38530,18728,5032,640,73,19,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,38746,554,554,1536
7,71268,38494,38242,41050,17840,5056,640,69,19,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,0,TA_SOUTHWEST,0,0,38242,2,1024
8,71304,38530,38458,38746,18848,5008,640,73,19,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,38782,646,646,1536
9,71340,38566,38314,38602,17960,5048,640,70,19,5,TS_NODRAW | TS_MAPWHO,0,0,2261,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,0,TA_SOUTHWEST,0,0,38278,94,1024
