Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,Affect_S,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Unique,Unique_S,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,OldState_S,NewState,NewState_S,HugChangeDir,HugStartAngle,HitAngle
0,32776,2,0,94,22476,11668,256,87,45,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,382,7,16,0,1,TM_PERSON,0,PS_NONE,192,TA_NORTHWEST,0,1026,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40474,8191,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,64,0,64,64,0,PS_NONE,0,PS_NONE,0,0,0
1,32868,94,2,40474,22476,11543,256,87,45,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,382,7,16,0,1,TM_PERSON,0,PS_NONE,192,TA_NORTHWEST,0,1026,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618,8191,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,38,0,64,64,0,PS_NONE,0,PS_NONE,0,0,0
2,32960,186,0,278,22476,11418,256,87,44,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,382,7,16,0,1,TM_PERSON,0,PS_NONE,192,TA_NORTHWEST,0,1026,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40762,8191,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,7,0,64,64,0,PS_NONE,0,PS_NONE,0,0,0
3,33052,278,186,40762,22476,11293,256,87,44,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,382,7,16,0,1,TM_PERSON,0,PS_NONE,192,TA_NORTHWEST,0,1026,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40906,8191,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,235,0,64,64,0,PS_NONE,0,PS_NONE,0,0,0
4,33144,370,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
5,33236,462,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
6,33328,554,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
7,33420,646,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
8,33512,738,0,830,13324,13626,256,52,53,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,5122,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38278,5460,0,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,3,0,56,56,0,PS_NONE,0,PS_NONE,0,0,0
9,33604,830,738,38278,13449,13626,256,52,53,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,5122,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38350,5460,0,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,3,0,56,56,0,PS_NONE,0,PS_NONE,0,0,0
