Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,Affect_S,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Unique,Unique_S,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,OldState_S,NewState,NewState_S,HugChangeDir,HugStartAngle,HitAngle
0,32776,2,9294,94,12956,17844,256,50,69,5,TS_NODRAW | TS_MAPWHO,0,PA_NONE,1,PB_AGENT,378,6,16,3590,1,TM_PERSON,0,PS_NONE,159,TA_NORTH,0,1602,PU_AGENT,1478,0,94,23596,0,0,0,23596,12956,17844,256,12956,17844,0,39034,8191,0,0,65504,39034,0,143,130,0,0,121,124,0,0,121,124,0,0,3,0,100,64,0,PS_NONE,0,PS_NONE,4,128,31
1,32868,94,2,186,12956,17844,256,50,69,13,TS_NODRAW | TS_MAPWHO | TS_DEAD,0,PA_NONE,1,PB_AGENT,378,6,16,3590,1,TM_PERSON,8,PS_PASSENGER,159,TA_NORTH,0,1602,PU_AGENT,790,0,186,2,0,0,0,23596,12956,17844,256,12956,17844,0,39178,8191,0,0,65504,39178,0,143,130,0,0,122,125,0,0,121,124,0,0,1,0,64,64,0,PS_NONE,6,PS_MOVE_INTO_VEHICLE,4,192,31
2,32960,186,94,278,12956,17844,256,50,69,13,TS_NODRAW | TS_MAPWHO | TS_DEAD,0,PA_NONE,1,PB_AGENT,378,6,16,13894,1,TM_PERSON,8,PS_PASSENGER,159,TA_NORTH,0,1602,PU_AGENT,1341,0,278,94,0,0,0,23596,12956,17844,256,12956,17844,0,39322,8191,0,0,65504,39322,0,142,130,0,0,122,125,0,0,122,126,0,0,1,0,64,64,0,PS_NONE,6,PS_MOVE_INTO_VEHICLE,4,128,31
3,33052,278,186,39034,12956,17844,256,50,69,13,TS_NODRAW | TS_MAPWHO | TS_DEAD,0,PA_NONE,1,PB_AGENT,378,6,16,13894,1,TM_PERSON,8,PS_PASSENGER,159,TA_NORTH,0,1602,PU_AGENT,654,0,3222,186,0,0,0,23596,12956,17844,256,12956,17844,0,39466,8191,0,0,65504,39466,0,142,130,0,0,122,124,0,0,122,124,0,0,6,0,64,64,0,PS_NONE,6,PS_MOVE_INTO_VEHICLE,4,192,31
4,33144,370,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
5,33236,462,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
6,33328,554,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
7,33420,646,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
8,33512,738,0,38458,13569,9737,256,53,38,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,8815,205,65533,278,1,TM_PERSON,26,PS_DEAD,229,TA_WEST,0,5122,PU_AGENT,2706,0,0,0,0,0,0,2,15168,7488,256,0,0,0,0,2730,0,0,444,0,0,148,148,148,0,128,128,128,0,128,128,128,0,25,0,48,48,0,PS_NONE,0,PS_NONE,4,64,229
9,33604,830,38962,38530,15245,10510,256,59,41,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,8815,205,65534,278,1,TM_PERSON,26,PS_DEAD,0,TA_SOUTHWEST,0,5122,PU_AGENT,7117,0,0,0,0,0,0,278,15296,7616,256,0,0,0,0,2730,0,0,496,0,0,148,148,148,0,128,128,128,0,128,128,128,0,17,0,48,48,0,PS_NONE,4,PS_GOTO_STRUCTURE4,4,128,0
10,33696,922,1014,0,17076,9907,256,66,38,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,8815,205,65534,278,1,TM_PERSON,26,PS_DEAD,26,TA_SOUTH,0,5122,PU_AGENT,3334,0,0,0,0,0,0,278,15296,7616,256,0,0,0,0,2730,0,0,486,0,0,150,150,150,0,128,128,128,0,128,128,128,0,6,0,48,48,0,PS_NONE,4,PS_GOTO_STRUCTURE4,4,128,27
11,33788,1014,0,922,17116,9924,256,66,38,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,8815,205,65531,278,1,TM_PERSON,26,PS_DEAD,27,TA_SOUTH,0,5122,PU_AGENT,2706,0,0,0,0,0,0,278,15296,7616,256,0,0,0,0,2730,0,0,500,0,0,150,149,150,0,128,128,128,0,128,128,128,0,252,0,48,48,0,PS_NONE,4,PS_GOTO_STRUCTURE4,4,128,27
12,33880,1106,0,38746,17231,9729,256,67,38,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,1330,207,65535,278,1,TM_PERSON,26,PS_DEAD,86,TA_EAST,0,5122,PU_AGENT,3301,0,0,0,0,0,0,2,15168,7488,256,0,0,0,0,2730,0,0,488,0,0,148,148,148,0,128,128,128,0,128,128,128,0,243,0,48,48,0,PS_NONE,0,PS_NONE,4,128,86
13,33972,1198,0,38818,12289,8565,256,48,33,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,1330,207,65529,2,1,TM_PERSON,26,PS_DEAD,206,TA_NORTHWEST,0,5122,PU_AGENT,3413,0,0,0,0,0,0,94,15168,7616,256,0,0,0,0,2730,0,0,497,0,0,149,149,149,0,128,128,128,0,128,128,128,0,234,0,48,48,0,PS_NONE,4,PS_GOTO_STRUCTURE4,4,64,206
14,34064,1290,0,0,12278,7174,256,47,28,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,1330,207,65532,94,1,TM_PERSON,26,PS_DEAD,186,TA_NORTHWEST,0,5122,PU_AGENT,0,0,0,0,0,0,0,2,15168,7488,256,0,0,0,0,2730,0,0,0,0,0,149,149,149,0,128,128,128,0,128,128,128,0,224,0,48,48,0,PS_NONE,4,PS_GOTO_STRUCTURE4,0,0,186
15,34156,1382,0,38962,15243,10542,256,59,41,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,8815,205,65530,278,1,TM_PERSON,26,PS_DEAD,0,TA_SOUTHWEST,0,5122,PU_AGENT,7593,0,0,0,0,0,0,278,15296,7616,256,0,0,0,0,2730,0,0,487,0,0,149,149,149,0,128,128,128,0,128,128,128,0,207,0,48,48,0,PS_NONE,4,PS_GOTO_STRUCTURE4,4,128,0
16,34248,1474,0,39682,22283,11938,1070,87,46,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1537,PB_SOLDIER,7714,1743,65532,2,1,TM_PERSON,26,PS_DEAD,228,TA_WEST,225,8,PU_GUARD,0,0,0,0,0,0,278,3,0,0,0,0,0,0,0,0,0,0,65535,0,0,128,110,238,110,128,50,178,50,128,110,238,110,184,0,32,32,0,PS_NONE,13,PS_WAIT_FOR_TIME,0,0,228
17,34340,1566,0,39718,21649,10243,256,84,40,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1744,PB_MAN_JACKET,8609,1950,65532,186,1,TM_PERSON,26,PS_DEAD,167,TA_NORTH,0,8,PU_GUARD,23702,0,0,0,192,176,278,4,80,39,256,0,0,0,0,0,0,0,3,0,0,128,110,238,110,128,50,178,50,128,110,238,110,113,0,32,32,0,PS_NONE,40,PS_WAIT_FOR_TRIGGER,4,64,167
18,34432,1658,39718,39754,21554,10248,256,84,40,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1744,PB_MAN_JACKET,8609,1950,65512,278,1,TM_PERSON,26,PS_DEAD,140,TA_NORTHEAST,0,8,PU_GUARD,519,0,0,0,200,200,278,6,21824,10432,256,0,0,0,0,0,0,0,44,0,0,128,110,238,110,128,50,178,50,128,110,238,110,119,0,32,32,0,PS_NONE,13,PS_WAIT_FOR_TIME,4,64,140
