Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,Affect_S,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Unique,Unique_S,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,OldState_S,NewState,NewState_S,HugChangeDir,HugStartAngle,HitAngle
0,32776,2,39394,94,15936,6976,256,62,27,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,5,TA_SOUTHWEST,0,1026,PU_AGENT,0,0,0,0,0,0,0,5246,15936,6976,256,16328,2072,0,38386,8191,0,0,0,38386,0,132,129,255,0,128,128,128,0,128,128,128,0,216,0,64,64,0,PS_NONE,0,PS_NONE,0,0,0
1,32868,94,2,186,15936,7104,256,62,27,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,3,TA_SOUTHWEST,0,1026,PU_AGENT,0,0,0,0,0,0,0,5246,15936,7104,256,16328,2072,0,38998,8191,0,0,0,38998,0,132,129,255,0,128,128,128,0,128,128,128,0,201,0,64,64,0,PS_NONE,0,PS_NONE,0,0,0
2,32960,186,94,38386,16064,6976,256,62,27,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,12,TA_SOUTHWEST,0,1026,PU_AGENT,0,0,0,0,0,0,0,5246,16064,6976,256,16328,2072,0,39142,8191,0,0,0,39142,0,132,129,255,0,128,128,128,0,128,128,128,0,188,0,64,64,0,PS_NONE,0,PS_NONE,0,0,0
3,33052,278,0,39286,16064,7104,256,62,27,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,11,TA_SOUTHWEST,0,1026,PU_AGENT,0,0,0,0,0,0,0,5246,16064,7104,256,16320,6172,0,39286,8191,0,0,0,39286,0,132,129,255,0,128,128,128,0,128,128,128,0,176,0,64,64,0,PS_NONE,0,PS_NONE,0,0,0
4,33144,370,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
5,33236,462,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
6,33328,554,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
7,33420,646,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
8,33512,738,0,38242,13928,16280,384,54,63,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,379,3,16,0,1,TM_PERSON,0,PS_NONE,64,TA_SOUTHEAST,0,5122,PU_AGENT,0,0,0,0,16,16,0,0,62,19,256,0,0,0,38242,0,0,0,6,0,0,128,128,128,0,128,128,128,0,128,128,128,0,187,0,40,40,40,PS_WAIT_FOR_TRIGGER,0,PS_NONE,0,0,0
9,33604,830,0,26512,15288,14264,384,59,55,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,381,5,16,0,1,TM_PERSON,0,PS_NONE,128,TA_NORTHEAST,0,5122,PU_AGENT,0,0,0,0,32,32,0,0,62,19,256,0,0,0,38278,0,0,0,6,0,0,128,128,128,0,128,128,128,0,128,128,128,0,174,0,40,40,40,PS_WAIT_FOR_TRIGGER,0,PS_NONE,0,0,0
