Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Owner,OwnerType
0,89448,56674,2762,56704,15936,6976,256,62,27,1,TS_NODRAW,0,0,0,65535,0,0,0,TM_NONE,51,0,TA_SOUTHWEST,0,2,TT_PERSON
1,89478,56704,2762,56734,15936,7104,256,62,27,1,TS_NODRAW,0,0,0,65535,0,0,0,TM_NONE,51,0,TA_SOUTHWEST,0,94,TT_PERSON
2,89508,56734,2762,56764,16064,6976,256,62,27,1,TS_NODRAW,0,0,0,65535,0,0,0,TM_NONE,51,0,TA_SOUTHWEST,0,186,TT_PERSON
3,89538,56764,2762,56794,16064,7104,256,62,27,1,TS_NODRAW,0,0,0,65535,0,0,0,TM_NONE,51,0,TA_SOUTHWEST,0,278,TT_PERSON
4,89568,56794,2762,56824,15936,6976,256,62,27,5,TS_NODRAW | TS_MAPWHO,0,0,0,65535,0,0,3,TM_EFFECT,51,0,TA_SOUTHWEST,0,2,TT_PERSON
5,89598,56824,56794,56854,15936,7104,256,62,27,5,TS_NODRAW | TS_MAPWHO,0,0,0,65535,0,0,3,TM_EFFECT,51,0,TA_SOUTHWEST,0,94,TT_PERSON
6,89628,56854,56824,56884,16064,6976,256,62,27,5,TS_NODRAW | TS_MAPWHO,0,0,0,65535,0,0,3,TM_EFFECT,51,0,TA_SOUTHWEST,0,186,TT_PERSON
7,89658,56884,56854,0,16064,7104,256,62,27,5,TS_NODRAW | TS_MAPWHO,0,0,0,65535,0,0,3,TM_EFFECT,51,0,TA_SOUTHWEST,0,278,TT_PERSON
8,89688,56914,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
9,89718,56944,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
10,89748,56974,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
11,89778,57004,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
12,89808,57034,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
13,89838,57064,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
14,89868,57094,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
15,89898,57124,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
16,89928,57154,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
17,89958,57184,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
18,89988,57214,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
19,90018,57244,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
20,90048,57274,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
21,90078,57304,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
22,90108,57334,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
23,90138,57364,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
24,90168,57394,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
25,90198,57424,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
26,90228,57454,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
27,90258,57484,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
28,90288,57514,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
29,90318,57544,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
30,90348,57574,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
31,90378,57604,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
32,90408,57634,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
33,90438,57664,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
34,90468,57694,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
35,90498,57724,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
36,90528,57754,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
37,90558,57784,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
38,90588,57814,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
39,90618,57844,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
40,90648,57874,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
41,90678,57904,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
42,90708,57934,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
43,90738,57964,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,TT_NONE
