Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,Affect_S,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Unique,Unique_S,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,OldState_S,NewState,NewState_S,HugChangeDir,HugStartAngle,HitAngle
0,32776,2,41590,40978,5440,11840,256,21,46,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,380,4,16,0,1,TM_PERSON,0,PS_NONE,82,TA_EAST,0,1538,PU_AGENT,639,0,0,0,0,0,0,0,5440,11840,256,0,0,0,40978,8191,0,0,486,0,0,27,0,0,0,19,8,0,0,17,6,0,0,5,0,64,64,0,PS_NONE,0,PS_NONE,4,192,0
1,32868,94,41158,41194,5440,11968,256,21,46,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,380,4,16,2854,1,TM_PERSON,0,PS_NONE,89,TA_EAST,0,1090,PU_AGENT,645,0,0,0,0,0,0,0,5440,11968,256,0,0,0,41194,8191,0,0,487,0,0,26,0,0,0,15,7,0,0,15,5,0,0,4,0,64,64,0,PS_NONE,0,PS_NONE,4,192,0
2,32960,186,0,41410,5568,11840,256,21,46,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,9,TA_SOUTHWEST,0,1090,PU_AGENT,1199,0,0,0,0,0,0,0,5568,11840,256,0,0,0,41410,8191,0,0,65498,0,0,27,0,0,0,19,7,0,0,17,7,0,0,6,0,64,64,0,PS_NONE,0,PS_NONE,4,64,0
3,33052,278,0,41626,5212,10932,256,20,42,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,435,27,16,2854,1,TM_PERSON,28,PS_GUARD_AREA,74,TA_SOUTHEAST,0,1602,PU_AGENT,1258,0,0,0,0,0,0,0,5212,10932,256,0,0,0,41626,8191,0,0,65478,41806,0,27,0,0,0,38,23,255,0,32,21,255,0,5,0,64,64,28,PS_GUARD_AREA,0,PS_NONE,4,64,6
4,33144,370,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
5,33236,462,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
6,33328,554,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
7,33420,646,0,0,0,0,0,0,0,0,TS_NONE,0,PA_NONE,0,PB_NONE,0,0,0,0,0,TM_NONE,0,PS_NONE,0,TA_SOUTHWEST,0,0,PU_NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PS_NONE,0,PS_NONE,0,0,0
8,33512,738,0,38746,3732,6134,256,14,23,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,1330,207,65532,278,1,TM_PERSON,26,PS_DEAD,192,TA_NORTHWEST,0,5122,PU_AGENT,14749,0,0,0,0,0,0,0,4340,20876,1280,0,0,0,0,2730,0,0,492,0,0,128,128,128,0,128,128,128,0,128,128,128,0,95,0,48,48,2,PS_GOTO_POINT2,0,PS_NONE,4,0,192
9,33604,830,0,39250,4096,9670,256,16,37,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1,PB_AGENT,8815,205,65532,278,1,TM_PERSON,26,PS_DEAD,228,TA_WEST,0,5122,PU_AGENT,14943,0,0,0,0,0,0,0,4256,21072,1280,0,0,0,0,2730,0,0,484,0,0,128,128,128,0,128,128,128,0,128,128,128,0,81,0,48,48,2,PS_GOTO_POINT2,0,PS_NONE,4,0,228
