Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,Affect_S,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Unique,Unique_S,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,OldState_S,NewState,NewState_S,HugChangeDir,HugStartAngle,HitAngle
0,32776,2,0,38242,7112,6008,256,27,23,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,20,0,1,TM_PERSON,0,PS_NONE,0,TA_SOUTHWEST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38242,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,79,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
1,32868,94,0,0,7272,6024,256,28,23,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,20,0,1,TM_PERSON,0,PS_NONE,0,TA_SOUTHWEST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,95,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
2,32960,186,0,278,7432,6056,256,29,23,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,20,0,1,TM_PERSON,0,PS_NONE,0,TA_SOUTHWEST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38314,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,109,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
3,33052,278,186,38314,7560,6056,256,29,23,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,20,0,1,TM_PERSON,0,PS_NONE,0,TA_SOUTHWEST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38350,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,124,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
4,33144,370,0,462,7736,6072,256,30,23,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,20,0,1,TM_PERSON,0,PS_NONE,0,TA_SOUTHWEST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38422,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,140,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
5,33236,462,370,38422,7928,6088,256,30,23,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,20,0,1,TM_PERSON,0,PS_NONE,0,TA_SOUTHWEST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38458,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,155,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
6,33328,554,0,38494,8072,6104,256,31,23,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,20,0,1,TM_PERSON,0,PS_NONE,0,TA_SOUTHWEST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38494,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,169,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
7,33420,646,0,38530,8208,6064,256,32,23,4,TS_MAPWHO,0,PA_NONE,1,PB_AGENT,377,1,20,0,1,TM_PERSON,0,PS_NONE,0,TA_SOUTHWEST,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38530,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,183,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
8,33512,738,0,38566,27052,21204,256,105,82,4,TS_MAPWHO,0,PA_NONE,833,PB_POLICE,3652,860,0,0,1,TM_PERSON,0,PS_NONE,92,TA_EAST,0,8,PU_GUARD,0,0,0,0,0,0,1106,0,0,0,0,0,0,0,38566,0,0,0,99,38566,0,128,110,238,110,128,110,238,110,128,110,238,110,254,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
9,33604,830,0,0,24914,23039,256,97,89,780,TS_MAPWHO | TS_DEAD | TS_UNKNOWN_100 | TS_FLY_BACK,0,PA_NONE,1330,PB_MAN_SUIT,6890,1536,65535,15090,1,TM_PERSON,26,PS_DEAD,205,TA_NORTHWEST,0,1,PU_CIVILIAN,4264,0,0,0,96,72,15090,0,26432,18752,1280,0,0,0,0,0,0,0,45,0,0,128,50,250,50,128,110,238,110,128,110,238,110,92,0,32,32,3,PS_GOTO_POINT3,0,PS_NONE,4,192,199
