Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
0,71016,38242,1566,0,6848,16064,256,26,62,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,136,TA_NORTHEAST,0,0,1566,1566,0
1,71052,38278,830,0,9177,5892,1024,35,23,5,TS_NODRAW | TS_MAPWHO,0,0,2024,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,66,TA_SOUTHEAST,0,0,830,830,3072
2,71088,38314,8742,0,21419,13073,1024,83,51,5,TS_NODRAW | TS_MAPWHO,0,0,2024,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,59,TA_SOUTHEAST,0,0,922,922,3072
3,71124,38350,1106,0,15008,19536,256,58,76,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,64,TA_SOUTHEAST,0,0,1106,1106,1024
4,71160,38386,1198,0,11596,19668,256,45,76,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,64,TA_SOUTHEAST,0,0,1198,1198,1536
5,71196,38422,1290,27532,11432,14248,256,44,55,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,64,TA_SOUTHEAST,0,0,1290,1290,1536
6,71232,38458,1014,0,10816,16736,256,42,65,5,TS_NODRAW | TS_MAPWHO,0,0,2024,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,64,TA_SOUTHEAST,0,0,1014,1014,3072
7,71268,38494,1382,0,18961,8398,640,74,32,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,254,TA_SOUTHWEST,0,0,1382,1382,1024
8,71304,38530,1474,0,14784,4266,256,57,16,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,189,TA_NORTHWEST,0,0,1474,1474,1024
9,71340,38566,1934,0,7104,12992,256,27,50,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,154,TA_NORTH,0,0,1934,1934,0
10,71376,38602,1658,0,8452,11194,256,33,43,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,254,TA_SOUTHWEST,0,0,1658,1658,1024
11,71412,38638,1750,0,12419,19954,256,48,77,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,61,TA_SOUTHEAST,0,0,1750,1750,1024
12,71448,38674,1842,0,10013,14612,256,39,57,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,62,TA_SOUTHEAST,0,0,1842,1842,1024
13,71484,38710,2578,0,5184,14400,256,20,56,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,197,TA_NORTHWEST,0,0,2578,2578,0
14,71520,38746,2026,0,25439,14887,256,99,58,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,113,TA_NORTHEAST,0,0,2026,2026,1024
15,71556,38782,2118,0,30036,20356,256,117,79,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,20,TA_SOUTH,0,0,2118,2118,1024
16,71592,38818,2210,0,15582,6437,256,60,25,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,71,TA_SOUTHEAST,0,0,2210,2210,1024
17,71628,38854,2302,0,8956,15689,256,34,61,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,129,TA_NORTHEAST,0,0,2302,2302,1024
18,71664,38890,2394,0,14311,9788,256,55,38,5,TS_NODRAW | TS_MAPWHO,0,0,2028,370,15,0,4,TM_WEAPON,4,WS_SHOTGUN,130,TA_NORTHEAST,0,0,2394,2394,1024
