Index,GloOfs,RelOfs,LocOfs,Next,Data,DataType,GotoX,GotoY,GotoZ,State,State_S
0,97128,64354,0,0,0,TT_NONE,0,212,0,0,CS_NONE
1,97136,64362,8,16,0,TT_NONE,107,104,7,1,CS_GOTO_POINT
2,97144,64370,16,24,0,TT_NONE,106,60,7,1,CS_GOTO_POINT
3,97152,64378,24,32,0,TT_NONE,149,62,7,1,CS_GOTO_POINT
4,97160,64386,32,0,0,TT_NONE,148,104,7,1,CS_GOTO_POINT
5,97168,64394,40,48,0,TT_NONE,117,73,12,1,CS_GOTO_POINT
6,97176,64402,48,56,0,TT_NONE,162,75,2,8,CS_WAIT_FOR_TRIGGER
7,97184,64410,56,64,23554,TT_VEHICLE,0,212,0,2,CS_USE_VEHICLE
8,97192,64418,64,72,0,TT_NONE,213,80,2,1,CS_GOTO_POINT
9,97200,64426,72,0,0,TT_NONE,0,212,0,7,CS_FAIL_LEVEL
10,97208,64434,80,88,0,TT_NONE,119,73,12,1,CS_GOTO_POINT
11,97216,64442,88,96,0,TT_NONE,137,75,2,8,CS_WAIT_FOR_TRIGGER
12,97224,64450,96,104,0,TT_NONE,125,73,3,1,CS_GOTO_POINT
13,97232,64458,104,0,0,TT_NONE,0,212,0,9,CS_END_COMMANDS
14,97240,64466,112,120,0,TT_NONE,113,72,12,1,CS_GOTO_POINT
15,97248,64474,120,128,0,TT_NONE,137,74,2,8,CS_WAIT_FOR_TRIGGER
16,97256,64482,128,136,0,TT_NONE,125,72,3,1,CS_GOTO_POINT
17,97264,64490,136,0,0,TT_NONE,0,212,0,9,CS_END_COMMANDS
18,97272,64498,144,152,0,TT_NONE,116,71,12,1,CS_GOTO_POINT
19,97280,64506,152,160,0,TT_NONE,137,75,2,8,CS_WAIT_FOR_TRIGGER
20,97288,64514,160,168,0,TT_NONE,125,72,3,1,CS_GOTO_POINT
21,97296,64522,168,0,0,TT_NONE,0,212,0,9,CS_END_COMMANDS
22,97304,64530,176,184,0,TT_NONE,116,72,12,1,CS_GOTO_POINT
23,97312,64538,184,192,0,TT_NONE,137,74,2,8,CS_WAIT_FOR_TRIGGER
24,97320,64546,192,200,0,TT_NONE,125,71,3,1,CS_GOTO_POINT
25,97328,64554,200,0,0,TT_NONE,0,212,0,9,CS_END_COMMANDS
26,97336,64562,208,216,0,TT_NONE,115,69,12,1,CS_GOTO_POINT
27,97344,64570,216,224,0,TT_NONE,137,75,2,8,CS_WAIT_FOR_TRIGGER
28,97352,64578,224,232,0,TT_NONE,125,73,3,1,CS_GOTO_POINT
29,97360,64586,232,0,0,TT_NONE,0,212,0,9,CS_END_COMMANDS
30,97368,64594,240,248,0,TT_NONE,113,73,12,1,CS_GOTO_POINT
31,97376,64602,248,256,0,TT_NONE,137,75,2,8,CS_WAIT_FOR_TRIGGER
32,97384,64610,256,264,0,TT_NONE,118,82,2,1,CS_GOTO_POINT
33,97392,64618,264,0,0,TT_NONE,0,212,0,9,CS_END_COMMANDS
34,97400,64626,272,280,0,TT_NONE,117,75,12,1,CS_GOTO_POINT
35,97408,64634,280,288,0,TT_NONE,141,75,2,8,CS_WAIT_FOR_TRIGGER
36,97416,64642,288,296,23554,TT_VEHICLE,0,212,0,2,CS_USE_VEHICLE
37,97424,64650,296,304,0,TT_NONE,228,80,2,1,CS_GOTO_POINT
38,97432,64658,304,312,23554,TT_VEHICLE,0,212,0,2,CS_USE_VEHICLE
39,97440,64666,312,320,0,TT_NONE,229,80,2,1,CS_GOTO_POINT
40,97448,64674,320,328,23554,TT_VEHICLE,0,212,0,2,CS_USE_VEHICLE
41,97456,64682,328,336,0,TT_NONE,232,80,2,1,CS_GOTO_POINT
42,97464,64690,336,344,23554,TT_VEHICLE,0,212,0,2,CS_USE_VEHICLE
43,97472,64698,344,352,0,TT_NONE,234,80,2,1,CS_GOTO_POINT
44,97480,64706,352,360,0,TT_NONE,234,80,2,1,CS_GOTO_POINT
45,97488,64714,360,368,0,TT_NONE,234,80,2,1,CS_GOTO_POINT
46,97496,64722,368,0,0,TT_NONE,0,212,0,7,CS_FAIL_LEVEL
47,97504,64730,376,0,0,TT_NONE,0,212,0,0,CS_NONE
48,97512,64738,384,0,0,TT_NONE,0,212,0,0,CS_NONE
49,97520,64746,392,0,0,TT_NONE,0,212,0,0,CS_NONE
50,97528,64754,400,0,0,TT_NONE,0,212,0,0,CS_NONE
51,97536,64762,408,0,0,TT_NONE,0,212,0,0,CS_NONE
52,97544,64770,416,0,0,TT_NONE,0,212,0,0,CS_NONE
53,97552,64778,424,0,0,TT_NONE,0,212,0,0,CS_NONE
54,97560,64786,432,0,0,TT_NONE,0,212,0,0,CS_NONE
55,97568,64794,440,0,0,TT_NONE,0,212,0,0,CS_NONE
56,97576,64802,448,0,0,TT_NONE,0,212,0,0,CS_NONE
57,97584,64810,456,0,0,TT_NONE,0,212,0,0,CS_NONE
58,97592,64818,464,0,0,TT_NONE,0,212,0,0,CS_NONE
59,97600,64826,472,0,0,TT_NONE,0,212,0,0,CS_NONE
60,97608,64834,480,0,0,TT_NONE,0,212,0,0,CS_NONE
61,97616,64842,488,0,0,TT_NONE,0,212,0,0,CS_NONE
62,97624,64850,496,0,0,TT_NONE,0,212,0,0,CS_NONE
63,97632,64858,504,0,0,TT_NONE,0,212,0,0,CS_NONE
64,97640,64866,512,0,0,TT_NONE,0,212,0,0,CS_NONE
65,97648,64874,520,0,0,TT_NONE,0,212,0,0,CS_NONE
66,97656,64882,528,0,0,TT_NONE,0,212,0,0,CS_NONE
67,97664,64890,536,0,0,TT_NONE,0,212,0,0,CS_NONE
68,97672,64898,544,0,0,TT_NONE,0,212,0,0,CS_NONE
69,97680,64906,552,0,0,TT_NONE,0,212,0,0,CS_NONE
70,97688,64914,560,0,0,TT_NONE,0,212,0,0,CS_NONE
71,97696,64922,568,0,0,TT_NONE,0,212,0,0,CS_NONE
72,97704,64930,576,0,0,TT_NONE,0,212,0,0,CS_NONE
73,97712,64938,584,0,0,TT_NONE,0,212,0,0,CS_NONE
74,97720,64946,592,0,0,TT_NONE,0,212,0,0,CS_NONE
75,97728,64954,600,0,0,TT_NONE,0,212,0,0,CS_NONE
76,97736,64962,608,0,0,TT_NONE,0,212,0,0,CS_NONE
77,97744,64970,616,0,0,TT_NONE,0,212,0,0,CS_NONE
78,97752,64978,624,0,0,TT_NONE,0,212,0,0,CS_NONE
79,97760,64986,632,0,0,TT_NONE,0,212,0,0,CS_NONE
80,97768,64994,640,0,0,TT_NONE,0,212,0,0,CS_NONE
