Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkToType,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
0,56328,23554,2210,23596,12672,6388,256,49,24,4,TS_MAPWHO,0,0,1641,416,100,0,2,TM_VEHICLE,5,VS_TRAIN,0,TA_SOUTHWEST,0,2210,0,0,TT_NONE,0,0,0,160,128
1,56370,23596,23554,0,12680,6156,256,49,24,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23554,TT_VEHICLE,8,-232,0,0,0
2,56412,23638,0,0,12676,5904,256,49,23,4,TS_MAPWHO,0,1,2103,434,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23596,TT_VEHICLE,-4,-252,0,0,0
3,56454,23680,0,0,12672,5636,256,49,22,4,TS_MAPWHO,0,0,2363,428,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23638,TT_VEHICLE,-4,-268,0,0,0
4,56496,23722,0,0,12672,5380,256,49,21,4,TS_MAPWHO,0,2,2508,440,80,0,2,TM_VEHICLE,9,VS_CARRIAGE,0,TA_SOUTHWEST,0,0,0,23680,TT_VEHICLE,0,-256,0,0,0
5,56538,23764,0,0,12664,5196,256,49,20,4,TS_MAPWHO,0,0,2358,418,100,0,2,TM_VEHICLE,5,VS_TRAIN,128,TA_NORTHEAST,0,0,0,23722,TT_VEHICLE,-8,-184,0,160,0
6,56580,23806,17666,39394,22588,9024,384,88,35,4,TS_MAPWHO,0,0,1708,472,120,0,2,TM_VEHICLE,36,VS_POLICECAR,64,TA_SOUTHEAST,0,17666,0,0,TT_NONE,0,0,0,120,0
7,56622,23848,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
8,56664,23890,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
9,56706,23932,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,TA_SOUTHWEST,0,0,0,0,TT_NONE,0,0,0,0,0
