Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Connected
0,59016,26242,0,0,17792,21376,512,69,83,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,4632,1041,100,0,5,TM_OBJECT,6,OS_TRAFFIC_ORB_RED_RED,53,TA_SOUTHEAST,0,0,
1,59046,26272,0,0,18276,9596,256,71,37,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
2,59076,26302,38638,0,20848,15584,256,81,60,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,50,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0,
3,59106,26332,0,0,20148,16252,256,78,63,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4718,1078,50,0,5,TM_OBJECT,12,OS_DOOR,192,TA_NORTHWEST,0,0,
4,59136,26362,0,0,12148,20204,256,47,78,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,50,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
5,59166,26392,0,0,11912,16104,256,46,62,4,TS_MAPWHO,0,1101,OB_DOOR_LARGE_LEFTRIGHT,4746,1101,50,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
6,59196,26422,0,0,10616,16312,256,41,63,4,TS_MAPWHO,0,1101,OB_DOOR_LARGE_LEFTRIGHT,4746,1101,50,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
7,59226,26452,0,0,5232,16592,256,20,64,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,50,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
8,59256,26482,0,0,10616,10920,256,41,42,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4707,1077,50,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
9,59286,26512,0,0,12928,10912,256,50,42,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4707,1077,50,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
10,59316,26542,0,0,15232,10928,256,59,42,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4707,1077,50,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
11,59346,26572,0,0,18560,10928,256,72,42,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4707,1077,50,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
12,59376,26602,0,0,20864,10928,256,81,42,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4707,1077,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0,
