Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Connected
0,59016,26242,0,0,7784,6632,256,30,25,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
1,59046,26272,0,0,7288,6664,1152,28,26,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8235,1965,0,0,5,TM_OBJECT,35,OS_WINDOW_SILHOUTTE2,0,TA_SOUTHWEST,0,0
2,59076,26302,0,0,8056,6664,896,31,26,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8658,1959,65534,0,5,TM_OBJECT,37,OS_WINDOWS_TRANSPARENT3,0,TA_SOUTHWEST,0,0
3,59106,26332,0,26692,8976,4816,384,35,18,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1887,551,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,64,TA_SOUTHEAST,0,0
4,59136,26362,0,0,8984,1880,384,35,7,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1887,551,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,64,TA_SOUTHEAST,0,0
5,59166,26392,0,26962,8984,2392,384,35,9,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1887,551,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,64,TA_SOUTHEAST,0,0
6,59196,26422,0,26932,8984,2136,384,35,8,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1887,551,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,64,TA_SOUTHEAST,0,0
7,59226,26452,0,26992,8984,2648,384,35,10,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1887,551,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,64,TA_SOUTHEAST,0,0
8,59256,26482,0,27022,8984,2904,384,35,11,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1887,551,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,64,TA_SOUTHEAST,0,0
9,59286,26512,0,26902,8984,3416,384,35,13,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,1887,551,50,0,5,TM_OBJECT,19,OS_WINDOW_CLOSED,64,TA_SOUTHEAST,0,0
