Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
0,59016,26242,0,0,13184,13440,520,51,52,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4633,1042,100,0,5,TM_OBJECT,7,121,TA_NORTHEAST,0,0,
1,59046,26272,0,0,13184,12160,512,51,47,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4633,1042,100,0,5,TM_OBJECT,7,98,TA_EAST,0,0,
2,59076,26302,0,0,18560,12160,504,72,47,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4634,1043,100,0,5,TM_OBJECT,8,184,TA_NORTHWEST,0,0,
3,59106,26332,0,0,13184,8832,520,51,34,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4633,1042,100,0,5,TM_OBJECT,7,110,TA_EAST,0,0,
4,59136,26362,0,0,20948,2940,256,81,11,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
5,59166,26392,0,0,20948,4988,256,81,19,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
6,59196,26422,0,0,20948,7036,256,81,27,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
7,59226,26452,0,0,20948,9084,256,81,35,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
8,59256,26482,0,0,20348,10452,256,79,40,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
9,59286,26512,0,0,20956,14724,256,81,57,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
10,59316,26542,0,0,20956,16772,256,81,65,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
11,59346,26572,0,0,20956,18820,256,81,73,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
12,59376,26602,0,0,20956,20868,256,81,81,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
13,59406,26632,0,0,20348,22228,256,79,86,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
14,59436,26662,0,0,16836,20604,256,65,80,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
