Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Connected
0,59016,26242,0,0,16256,13440,520,63,52,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,4633,1042,100,0,5,TM_OBJECT,7,OS_TRAFFIC_ORB_GREEN_RED,87,TA_EAST,0,0,
1,59046,26272,0,0,19328,12160,520,75,47,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,4632,1041,100,0,5,TM_OBJECT,6,OS_TRAFFIC_ORB_RED_RED,18,TA_SOUTH,0,0,
2,59076,26302,0,0,10104,13064,1152,39,51,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8658,1959,65534,0,5,TM_OBJECT,32,OS_WINDOWS_TRANSPARENT,0,TA_SOUTHWEST,0,0,
3,59106,26332,0,0,11896,7176,1280,46,28,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8267,1960,65534,0,5,TM_OBJECT,32,OS_WINDOWS_TRANSPARENT,64,TA_SOUTHEAST,0,0,
4,59136,26362,0,0,10616,7432,896,41,29,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8658,1959,65534,0,5,TM_OBJECT,32,OS_WINDOWS_TRANSPARENT,128,TA_NORTHEAST,0,0,
5,59166,26392,0,0,12792,7432,896,49,29,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8658,1959,65534,0,5,TM_OBJECT,37,OS_WINDOWS_TRANSPARENT3,128,TA_NORTHEAST,0,0,
6,59196,26422,0,0,12152,7432,384,47,29,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8658,1959,65534,0,5,TM_OBJECT,37,OS_WINDOWS_TRANSPARENT3,128,TA_NORTHEAST,0,0,
7,59226,26452,0,0,14968,6664,768,58,26,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8267,1960,65534,0,5,TM_OBJECT,32,OS_WINDOWS_TRANSPARENT,192,TA_NORTHWEST,0,0,
8,59256,26482,0,0,13944,7432,640,54,29,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8658,1959,65534,0,5,TM_OBJECT,37,OS_WINDOWS_TRANSPARENT3,0,TA_SOUTHWEST,0,0,
9,59286,26512,0,0,21880,5640,1280,85,22,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8658,1959,65534,0,5,TM_OBJECT,37,OS_WINDOWS_TRANSPARENT3,0,TA_SOUTHWEST,0,0,
