GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
59016,26242,0,0,27008,12672,504,105,49,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4633,1042,100,0,5,TM_OBJECT,7,76,TA_SOUTHEAST,0,0,
59046,26272,0,0,24704,6016,512,96,23,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4631,1040,100,0,5,TM_OBJECT,5,241,TA_SOUTHWEST,0,0,
59076,26302,0,0,25712,17632,256,100,68,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
59106,26332,0,0,26572,16500,256,103,64,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59136,26362,0,0,23664,15840,256,92,61,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59166,26392,0,0,20688,21632,256,80,84,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
59196,26422,0,0,15560,20088,256,60,78,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
59226,26452,0,0,9080,19160,256,35,74,4,TS_MAPWHO,0,1085,4723,1085,50,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
59256,26482,0,0,9684,12668,384,37,49,4,TS_MAPWHO,0,1109,4759,1110,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59286,26512,0,31672,9920,7280,256,38,28,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59316,26542,0,0,8396,4996,256,32,19,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59346,26572,0,0,20672,4224,256,80,16,4,TS_MAPWHO,0,1077,4718,1078,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59376,26602,0,0,20436,16764,256,79,65,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
59406,26632,0,28042,7800,18952,896,30,74,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8235,1965,21,0,5,TM_OBJECT,35,128,TA_NORTHEAST,0,0,
59436,26662,0,0,9080,18696,1024,35,73,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59466,26692,2,0,9080,17928,1280,35,70,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59496,26722,0,0,7800,15624,1152,30,61,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,
59526,26752,0,0,9080,14856,1280,35,58,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,
59556,26782,0,31642,8312,13832,1280,32,54,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,
59586,26812,0,0,8056,9608,1152,31,37,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,
59616,26842,0,0,8824,7432,1152,34,29,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,
59646,26872,0,0,7544,5640,768,29,22,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,
59676,26902,0,0,8568,3592,896,33,14,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,
59706,26932,0,0,22904,4360,1152,89,17,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59736,26962,0,0,24952,7688,896,97,30,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59766,26992,0,0,25208,8712,1024,98,34,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59796,27022,0,31222,24440,11016,768,95,43,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
59826,27052,0,0,25976,14600,896,101,57,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,
59856,27082,0,0,25720,17672,768,100,69,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,
59886,27112,0,0,24440,16136,768,95,63,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,
59916,27142,0,0,25720,19208,1024,100,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59946,27172,0,0,24952,19976,1152,97,78,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,
59976,27202,0,0,21624,19208,640,84,75,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
60006,27232,0,0,20344,19208,768,79,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,
60036,27262,0,31282,20856,21512,768,81,84,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,
60066,27292,0,0,19320,21256,768,75,83,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,
