Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
0,59016,26242,0,0,15488,20608,504,60,80,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4631,1040,100,0,5,TM_OBJECT,5,232,TA_WEST,0,0,
1,59046,26272,0,0,10368,4992,504,40,19,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4634,1043,100,0,5,TM_OBJECT,8,168,TA_NORTH,0,0,
2,59076,26302,0,0,20352,10368,504,79,40,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4634,1043,100,0,5,TM_OBJECT,8,148,TA_NORTH,0,0,
3,59106,26332,0,0,20444,4484,256,79,17,4,TS_MAPWHO,0,1101,4747,1102,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
4,59136,26362,0,0,24008,4728,256,93,18,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
5,59166,26392,0,0,24700,4580,256,96,17,4,TS_MAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
6,59196,26422,0,0,21464,9096,256,83,35,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
7,59226,26452,0,0,18656,6528,384,72,25,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
8,59256,26482,0,0,18652,8836,384,72,34,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
9,59286,26512,0,0,19160,11640,256,74,45,4,TS_MAPWHO,0,1109,4759,1110,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
10,59316,26542,0,0,17880,12424,256,69,48,4,TS_MAPWHO,0,1077,4718,1078,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
11,59346,26572,0,0,18812,15332,256,73,59,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
12,59376,26602,0,0,19404,14196,256,75,55,4,TS_MAPWHO,0,1109,4759,1110,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
13,59406,26632,0,0,21104,15312,256,82,59,4,TS_MAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
14,59436,26662,0,0,23648,15312,256,92,59,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
15,59466,26692,0,0,27088,14720,256,105,57,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
16,59496,26722,0,0,27080,12664,256,105,49,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
17,59526,26752,0,0,24184,19688,256,94,76,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
